Crop,Province,District,Year,Area_000_Hectares,Area_Percent_Share,Production_000_Tons,Production_Percent_Share
Wheat,Punjab,Attock,2021-22,182.92,2.8,310.34,1.5
Wheat,Punjab,Attock,2022-23,190.2,2.9,348.21,1.6
Wheat,Punjab,Rawalpindi,2021-22,159.85,2.4,311.16,1.6
Wheat,Punjab,Rawalpindi,2022-23,162.68,2.5,340.57,1.6
Wheat,Punjab,Muree,2021-22,0.00,0.0,0.00,0.0
Wheat,Punjab,Muree,2022-23,5.66,0.1,8.46,0.0
Wheat,Punjab,Islamabad,2021-22,32.78,0.5,59.68,0.3
Wheat,Punjab,Islamabad,2022-23,33.18,0.5,64.19,0.3
Wheat,Punjab,Jhelum,2021-22,77.29,1.2,152.22,0.8
Wheat,Punjab,Jhelum,2022-23,85.39,1.3,193.87,0.9
Wheat,Punjab,Chakwal,2021-22,150.53,2.3,252.02,1.3
Wheat,Punjab,Chakwal,2022-23,100.76,1.6,178.49,0.8
Wheat,Punjab,Talagang,2021-22,0.00,0.0,0.00,0.0
Wheat,Punjab,Talagang,2022-23,53.42,0.8,94.2,0.4
Wheat,Punjab,Sargodha,2021-22,195.05,3.0,545.62,2.7
Wheat,Punjab,Sargodha,2022-23,200.72,3.1,630.12,3.0
Wheat,Punjab,Khushab,2021-22,139.21,2.1,287.97,1.4
Wheat,Punjab,Khushab,2022-23,123.02,1.9,290.75,1.4
Wheat,Punjab,Mianwali,2021-22,200.32,3.1,539.96,2.7
Wheat,Punjab,Mianwali,2022-23,190.2,2.9,588.45,2.8
Wheat,Punjab,Bhakkar,2021-22,180.08,2.7,475.43,2.4
Wheat,Punjab,Bhakkar,2022-23,163.09,2.5,471.66,2.2
Wheat,Punjab,Faisalabad,2021-22,240.78,3.7,788.73,3.9
Wheat,Punjab,Faisalabad,2022-23,233.09,3.6,852.94,4.0
Wheat,Punjab,Toba Tek Singh,2021-22,135.16,2.1,451.30,2.3
Wheat,Punjab,Toba Tek Singh,2022-23,130.31,2.0,470.51,2.2
Wheat,Punjab,Jhang,2021-22,255.76,3.9,810.73,4.0
Wheat,Punjab,Jhang,2022-23,263.44,4.1,934.32,4.4
Wheat,Punjab,Chiniot,2021-22,96.72,1.5,331.92,1.7
Wheat,Punjab,Chiniot,2022-23,98.34,1.5,368,1.7
Wheat,Punjab,Gujrat,2021-22,157.02,2.4,321.88,1.6
Wheat,Punjab,Gujrat,2022-23,159.44,2.5,363.43,1.7
Wheat,Punjab,M.B. Din,2021-22,127.07,1.9,355.70,1.8
Wheat,Punjab,M.B. Din,2022-23,133.54,2.1,432.43,2.0
Wheat,Punjab,Sialkot,2021-22,185.34,2.8,462.40,2.3
Wheat,Punjab,Sialkot,2022-23,190.2,2.9,565.13,2.7
Wheat,Punjab,Narowal,2021-22,123.43,1.9,279.72,1.4
Wheat,Punjab,Narowal,2022-23,126.25,1.9,364.83,1.7
Wheat,Punjab,Gujranwala,2021-22,230.67,3.5,685.14,3.4
Wheat,Punjab,Gujranwala,2022-23,162.28,2.5,544.56,2.6
Wheat,Punjab,Hafizabad,2021-22,146.90,2.2,483.81,2.4
Wheat,Punjab,Hafizabad,2022-23,150.94,2.3,595.46,2.8
Wheat,Punjab,Wazirabad,2021-22,0.00,0.0,0.00,0.0
Wheat,Punjab,Wazirabad,2022-23,73.65,1.1,235,1.1
Wheat,Punjab,Sheikhupura,2021-22,220.95,3.4,669.18,3.3
Wheat,Punjab,Sheikhupura,2022-23,228.24,3.5,755.53,3.6
Wheat,Punjab,Nankana Sahib,2021-22,125.45,1.9,427.18,2.1
Wheat,Punjab,Nankana Sahib,2022-23,128.69,2.0,456.01,2.1
Wheat,Punjab,Lahore,2021-22,43.71,0.7,150.12,0.7
Wheat,Punjab,Lahore,2022-23,45.73,0.7,159.6,0.8
Wheat,Punjab,Kasur,2021-22,129.90,2.0,406.26,2.0
Wheat,Punjab,Kasur,2022-23,127.47,2.0,434.32,2.0
Wheat,Punjab,Okara,2021-22,133.14,2.0,502.58,2.5
Wheat,Punjab,Okara,2022-23,129.09,2.0,506.44,2.4
Wheat,Punjab,Sahiwal,2021-22,112.91,1.7,384.91,1.9
Wheat,Punjab,Sahiwal,2022-23,111.29,1.7,407.77,1.9
Wheat,Punjab,Pakpattan,2021-22,93.89,1.4,323.50,1.6
Wheat,Punjab,Pakpattan,2022-23,85.39,1.3,324.77,1.5
Wheat,Punjab,Multan,2021-22,176.84,2.7,642.04,3.2
Wheat,Punjab,Multan,2022-23,173.2,2.7,641.49,3.0
Wheat,Punjab,Lodhran,2021-22,165.51,2.5,622.83,3.1
Wheat,Punjab,Lodhran,2022-23,155.4,2.4,594.74,2.8
Wheat,Punjab,Khanewal,2021-22,214.88,3.3,792.89,4.0
Wheat,Punjab,Khanewal,2022-23,194.25,3.0,726.91,3.4
Wheat,Punjab,Vehari,2021-22,180.49,2.8,629.04,3.1
Wheat,Punjab,Vehari,2022-23,159.85,2.5,594.24,2.8
Wheat,Punjab,M. Garh,2021-22,242.40,3.7,736.05,3.7
Wheat,Punjab,M. Garh,2022-23,141.23,2.2,460.96,2.2
Wheat,Punjab,Kot Addu,2021-22,0.00,0.0,0.00,0.0
Wheat,Punjab,Kot Addu,2022-23,93.08,1.4,269.84,1.3
Wheat,Punjab,Layyah,2021-22,273.16,4.2,817.83,4.1
Wheat,Punjab,Layyah,2022-23,271.54,4.2,837.94,3.9
Wheat,Punjab,D.G. Khan,2021-22,237.95,3.6,755.46,3.8
Wheat,Punjab,D.G. Khan,2022-23,220.55,3.4,739.46,3.5
Wheat,Punjab,Rajanpur,2021-22,193.84,3.0,672.21,3.4
Wheat,Punjab,Rajanpur,2022-23,185.34,2.9,649.12,3.1
Wheat,Punjab,Bahawalpur,2021-22,295.82,4.5,1052.06,5.3
Wheat,Punjab,Bahawalpur,2022-23,287.73,4.4,1073.61,5.1
Wheat,Punjab,Rahimyar Khan,2021-22,277.20,4.2,1028.05,5.1
Wheat,Punjab,Rahimyar Khan,2022-23,289.34,4.5,1093.66,5.2
Wheat,Punjab,Bahawalnagar,2021-22,424.91,6.5,1513.89,7.6
