S.  No,Sector/Industry,1999-2000,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
,GDP Growth Rate (%),,3.64,2.62,5.17,7.69,8,5.66,5.11,4.44,1.06,2.26,3.2,3.2,3.86,3.56,3.81,4.07,4.61,6.1,3.12,-0.94,5.77,6.18,-0.21,2.6153536832381548,3.057657903866655
A,"Agriculture, Forestry and Fishing (1 to 4 )",5018356.376617723,5013941.090089901,5077193.680560931,5258170.250655293,5420793.33942585,5789117.304212991,5898413.856288432,6103888.045461617,6153614.394952432,6363626.998223576,6383524.6301511815,6556680.430579245,6768528.299582489,6981191.770975552,7150034.456483932,7277451.678187437,7306957,7468900,7758432,7831296,8137860,8424041,8778647,8975069,9549362,9694995
,1. Crops ( i+ii+iii),2293488.3401639373,2139845.9979373817,2072269.2471381708,2101190.86429126,2118616.979026612,2392432.002799484,2384981.548034523,2520256.833819057,2461864.7401817245,2559066.2120479313,2425068.0276139425,2475465.5423885463,2506342.8506449466,2576183.5371227358,2623259.449940896,2597394.9824314527,2497153,2531438,2648128,2532070,2692121,2849148,3083439,3047425,3378267,3343944
,      i)  Important Crops,1162155.4087080867,1044427.5693705917,1002894.5798040545,1058286.2189868125,1062470.9700887771,1276891.0290261232,1236014.0080732196,1344198.8063652762,1278590.182315824,1370855.9849782758,1307739.4449087894,1356855.3302471093,1455250.0923848792,1476418.6373776672,1573024.8469426348,1542822.283874434,1462455,1501621,1565723,1431198,1506263,1593985,1681708,1689304,1977855,1718467
,      ii) Other Crops,1001745.5519880621,969276.5508561304,944772.6696361203,921308.1743824997,935124.8627317663,960653.3133117285,1002746.389372864,1030572.5325329547,1047324.4836695727,1051028.0859842817,972151.384960681,984172.3037665765,897774.9127603499,951681.4229085627,904038.4296331361,898386.4899436866,912388,901099,943042,977166,1067179,1152009,1289069,1271187,1272421,1521791
,      iii) Cotton Ginning,129587.37946778873,126141.87771065946,124601.99769799592,121596.47092194791,121021.1462060684,154887.66046163213,146221.1505884395,145485.4949208261,135950.07419632742,137182.14108537353,145177.19774447184,134437.90837486018,153317.84549971734,148083.47683650604,146196.17336512503,156186.20861333213,122310,128718,139363,123706,118679,103154,112662,86934,127991,103686
,2.  Livestock,2413171.352996325,2548790.811004678,2680497.235554675,2799540.8519059313,2932166.28630954,3068937.838253468,3209572.3184672487,3299845.202580438,3429031.681104783,3542890.169066441,3686172.5044905934,3833038.2766276323,4006297.9337416478,4138768.373567215,4257306.91582882,4426704.318808261,4531885,4662846,4830324,5006731,5146701,5269009,5387611,5587106,5831984,6004016
,3.  Forestry,212613.56743704525,229153.6544022821,240137.2510854348,270242.50106352114,281092.3081671283,238324.91780791216,195783.55442484393,175604.29377836658,145685.5045966943,141449.47807800962,150391.82561946276,146901.54791336352,150841.48811769835,160514.29596290388,162764.76778587498,140810.62930465658,161737,157022,160541,172129,177917,183877,185162,217372,214976,221160
,4.  Fishing,99083.11602041598,96150.6267455598,84289.94678264981,87196.03339458152,88917.76592256958,89422.54535212743,108076.43536181634,108181.71528375626,117032.4690692304,120221.13903119406,121892.27242718262,101275.06364970247,105046.02707819667,105725.56432269665,106703.3229283409,112541.74764306692,116182,117594,119439,120366,121121,122007,122435,123166,124135,125875
B,Industrial Activities ( 1 to 4 ),2644188.457409175,2820244.140073511,2872556.0196454246,3059073.7346314657,3584870.258849303,3908309.774154424,4036565.315622381,4329873.657169606,4709885.503446894,4514625.647752107,4693059.26631231,4921837.047643502,5036634.368186424,5094824.085583638,5315788.366060162,5602641.14267763,5939635,6213295,6783864,6800675,6409967,6935438,7421583,7133708,7063185,7432403.162350301
,1.  Mining and Quarrying,387010.23810288514,410560.0775216177,437974.99475073325,481275.62714690715,581835.6398233749,521257.4134107841,546871.3463831488,576680.6380452143,598022.5149743939,591832.7537645396,606177.8314936261,581713.0396364423,612310.0918726507,623161.4500565535,629518.296059489,654371.2275901827,691258,685104,734818,738791,685844,697669,651208,630143,614814,592091
