hs_code,commodity,unit,country,2002-2003_quantity,2002-2003_value_000rs,2003-2004_quantity,2003-2004_value_000rs,2004-2005_quantity,2004-2005_value_000rs,2005-2006_quantity,2005-2006_value_000rs,2006-2007_quantity,2006-2007_value_000rs,2007-2008_quantity,2007-2008_value_000rs
01011000,PURE BRED BREEDING ANIMALS,NO,ALL COUNTRIES,9867,60967,26,81,576,3513,,,,,,
01011000,PURE BRED BREEDING ANIMALS,NO,Afghanistan,570,3440,,,,,,,,,,
01011000,PURE BRED BREEDING ANIMALS,NO,Kenya,9000,55490,,,,,,,,,,
01011000,PURE BRED BREEDING ANIMALS,NO,Philippines,867,5477,,,,,,,,,,
01011000,PURE BRED BREEDING ANIMALS,NO,Qatar,26,81,,,,,,,,,,
01011000,PURE BRED BREEDING ANIMALS,NO,United Arab Emirates,6,73,,,,,,,,,,
01019000,"OTHER, HORSES",NO,ALL COUNTRIES,16,28,,,,,,,,,,
01019000,"OTHER, HORSES",NO,United Arab Emirates,16,28,,,,,,,,,,
01021010,PURE BRED BREEDING BUFFALOES,NO,ALL COUNTRIES,3756,61835,249,4233,,,,,,,,
01021010,PURE BRED BREEDING BUFFALOES,NO,Afghanistan,3756,61835,249,4233,,,,,,,,
01021020,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,4873,79493,692,11767,25,252,,,,,,
01021020,PURE BRED BREEDING BULLS,NO,Afghanistan,4873,79493,692,11767,,,,,,,,
01021020,PURE BRED BREEDING BULLS,NO,Sharjah,25,252,,,,,,,,,,
01021030,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,205,3485,6,207,14,671,,,,,,
01021030,PURE BRED BREEDING COWS,NO,Afghanistan,205,3485,,,,,,,,,,
01021030,PURE BRED BREEDING COWS,NO,Sharjah,6,207,,,,,,,,,,
01021030,PURE BRED BREEDING COWS,NO,United Kingdom,14,671,,,,,,,,,,
01021040,PURE BRED BREEDING OXEN,NO,ALL COUNTRIES,150,2550,,,,,,,,,,
01021040,PURE BRED BREEDING OXEN,NO,Afghanistan,150,2550,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,ALL COUNTRIES,299,2507,28,783,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Bahrain,124,1992,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Dubai,175,515,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,United Arab Emirates,28,783,,,,,,,,,,
01029010,OTHER BUFFALOES,NO,ALL COUNTRIES,30441,421770,5881,108255,219,4351,,,,,,
01029010,OTHER BUFFALOES,NO,Afghanistan,30198,418593,5881,108255,219,4351,,,,,,
01029010,OTHER BUFFALOES,NO,Dubai,243,3176,,,,,,,,,,
01029020,OTHER BULLS,NO,ALL COUNTRIES,11050,164211,,,,,,,,,,
01029020,OTHER BULLS,NO,Afghanistan,9776,150513,,,,,,,,,,
01029020,OTHER BULLS,NO,Bahrain,177,1482,,,,,,,,,,
01029020,OTHER BULLS,NO,Dubai,576,5296,,,,,,,,,,
01029020,OTHER BULLS,NO,India,17,170,,,,,,,,,,
01029020,OTHER BULLS,NO,Iran ( Islamic R.),220,1848,,,,,,,,,,
01029020,OTHER BULLS,NO,Sharjah,130,2283,,,,,,,,,,
01029020,OTHER BULLS,NO,Thailand,154,2618,,,,,,,,,,
01029030,OTHER COWS,NO,ALL COUNTRIES,8898,77791,2509,39219,26,477,,,,,,
01029030,OTHER COWS,NO,Afghanistan,6351,59836,1629,30068,,,,,,,,
01029030,OTHER COWS,NO,Dubai,2112,15673,880,9151,26,477,,,,,,
01029030,OTHER COWS,NO,Saudi Arabia,158,1048,,,,,,,,,,
01029030,OTHER COWS,NO,Sharjah,277,1233,,,,,,,,,,
01029040,OTHER OXEN,NO,ALL COUNTRIES,1146,7107,,,,,,,,,,
01029040,OTHER OXEN,NO,Afghanistan,87,1479,,,,,,,,,,
01029040,OTHER OXEN,NO,Dubai,1059,5628,,,,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,3110,11856,3,65,6,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,Dubai,3110,11856,,,,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,Malaysia,6,,,,,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,South Africa,2,29,,,,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,U.S.America,1,36,,,,,,,,,,
01041000,SHEEP LIVE,NO,ALL COUNTRIES,7128,17568,,,,,,,,,,
01041000,SHEEP LIVE,NO,Bahrain,736,2282,,,,,,,,,,
01041000,SHEEP LIVE,NO,Dubai,5730,13169,,,,,,,,,,
01041000,SHEEP LIVE,NO,Sharjah,662,2116,,,,,,,,,,
01042000,"GOATS, LIVE",NO,ALL COUNTRIES,20147,46224,2755,4617,,,,,,,,
01042000,"GOATS, LIVE",NO,Dubai,18947,43558,1820,2893,,,,,,,,
01042000,"GOATS, LIVE",NO,Qatar,508,1120,275,379,,,,,,,,
01042000,"GOATS, LIVE",NO,Saudi Arabia,350,570,,,,,,,,,,
01042000,"GOATS, LIVE",NO,Sharjah,692,1546,310,775,,,,,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,ALL COUNTRIES,1308549,26093,263249,4958,258759,9498,12130,382,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Afghanistan,521800,11070,4500,138,90000,4500,130,5,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Bahrain,2310,40,15752,703,,,,,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Dubai,772949,14507,252479,4619,3750,132,10000,334,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Kuwait,5000,119,,,,,,,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Oman,6550,257,,,,,,,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Qatar,1800,26,14503,552,,,,,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Saudi Arabia,4000,119,3960,160,,,,,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,Sharjah,8000,371,,,,,,,,,,
01051900,OTH;LIVE POULTRY WT=185G,NO,United Arab Emirates,123204,3236,2000,44,,,,,,,,
01059200,OTH FOWLS OF SPECIES WT<2000G,NO,ALL COUNTRIES,200,20,,,,,,,,,,
01059200,OTH FOWLS OF SPECIES WT<2000G,NO,Bahrain,200,20,,,,,,,,,,
01059300,OTH FOWLS OF SPECIES WT>2000G,NO,ALL COUNTRIES,80000,4800,,,,,,,,,,
01059300,OTH FOWLS OF SPECIES WT>2000G,NO,Afghanistan,80000,4800,,,,,,,,,,
01059900,OTH LIVE POULTRY WEIGHT>185G,NO,ALL COUNTRIES,1754394,163769,2511593,172709,1417636,110439,648912,53852,74517,7125,59154,5815
01059900,OTH LIVE POULTRY WEIGHT>185G,NO,Afghanistan,1558280,150599,2497675,171443,1369507,105350,632126,51471,74517,7125,59154,5815
01059900,OTH LIVE POULTRY WEIGHT>185G,NO,Bahrain,9385,635,1190,103,28950,2822,14650,2073,,,,
01059900,OTH LIVE POULTRY WEIGHT>185G,NO,Bangladesh,400,36,155,20,,,,,,,,
01059900,OTH LIVE POULTRY WEIGHT>185G,NO,Croatia,1640,194,,,,,,,,,,
