hs_code,commodity,unit,country,2018-2019_jun_quantity,2018-2019_jun_value_000rs,2018-2019_cum_quantity,2018-2019_cum_value_000rs,2017-2018_jun_quantity,2017-2018_jun_value_000rs,2017-2018_cum_quantity,2017-2018_cum_value_000rs
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,70,1849,,,,
01019000,OTHER LIVE ANIMALS,NO,Afghanistan,,,70,1849,,,,
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,,,4,253,271,17133
01022110,PURE BRED BREEDING BULLS,NO,Afghanistan,,,,,4,253,271,17133
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,,,,,20,1264,130,8220
01022120,PURE BRED BREEDING COWS,NO,Afghanistan,,,,,20,1264,130,8220
01023900,OTHER BUFFALOES,NO,ALL COUNTRIES,,,,,118,6679,717,44545
01023900,OTHER BUFFALOES,NO,Afghanistan,,,,,118,6679,717,44545
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,1950,185,4700,315,,,493668,40198
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,1950,185,4700,315,,,492680,40113
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,,,,,,,988,84
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,600,139,2150,450,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,511342,70008,4927390,465347,534675,42999,1744428,165989
01059900,OTH LIVE POULTRY,NO,Afghanistan,511342,70008,4927390,465347,534125,42959,1742231,165686
01059900,OTH LIVE POULTRY,NO,Oman,,,,,550,40,2197,304
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,103,16,429,80,,,80,21
01061400,RABBITS AND HARES,NO,Oman,103,16,429,80,,,80,21
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,167,44,267,69,90,15,90,15
01063190,OTHER BIRDS OF PREY,NO,Oman,167,44,267,69,90,15,90,15
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,,,,,,,1300,439
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bahrain,,,,,,,550,122
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,,,,,,,380,195
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Saudi Arabia,,,,,,,200,105
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Turkey,,,,,,,170,17
01063900,OTHER BIRDS,NO,ALL COUNTRIES,26498,4510,115331,25359,68870,16738,262821,55337
01063900,OTHER BIRDS,NO,Afghanistan,,,,,,,450,88
01063900,OTHER BIRDS,NO,Bahrain,,,,,,,150,30
01063900,OTHER BIRDS,NO,Indonesia,,,,,2600,1142,2600,1142
01063900,OTHER BIRDS,NO,Kuwait,,,,,,,22315,4093
01063900,OTHER BIRDS,NO,Oman,26498,4510,112671,24242,41158,9392,112771,24398
01063900,OTHER BIRDS,NO,Qatar,,,,,,,10238,1314
01063900,OTHER BIRDS,NO,Saudi Arabia,,,,,,,85915,17512
01063900,OTHER BIRDS,NO,Turkey,,,2660,1117,,,3270,557
01063900,OTHER BIRDS,NO,Viet Nam,,,,,25112,6204,25112,6204
01064100,BEES,NO,ALL COUNTRIES,139010,4190,199260,5810,,,53366,2168
01064100,BEES,NO,Afghanistan,139010,4190,199260,5810,,,53366,2168
01069000,OTHER LIVES ANIMALS,NO,ALL COUNTRIES,5335,1734,16302,5669,,,66490,13151
