hs_code,commodity,unit,country,2019-2020_jun_quantity,2019-2020_jun_value_000rs,2019-2020_cum_quantity,2019-2020_cum_value_000rs,2018-2029_jun_quantity,2018-2029_jun_value_000rs,2018-2029_cum_quantity,2018-2029_cum_value_000rs
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,500,171,,,70,1849
01019000,OTHER LIVE ANIMALS,NO,Afghanistan,,,,,,,70,1849
01019000,OTHER LIVE ANIMALS,NO,Qatar,,,500,171,,,,
01041000,SHEEP LIVE,NO,ALL COUNTRIES,,,46,2698,,,,
01041000,SHEEP LIVE,NO,Afghanistan,,,46,2698,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,442000,7236,3348054,135040,9800,1487,54253,6754
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,442000,7236,3348054,135040,9800,1487,54253,6754
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,68953,11461,1397897,217340,,,600,145
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Indonesia,,,330,185,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,,,26882,7617,178,58,5549,1806
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,795519,94592,3884555,524361,515080,77262,6805302,706206
01059900,OTH LIVE POULTRY,NO,Afghanistan,795519,94592,3884555,524361,515080,77262,6804752,706123
01059900,OTH LIVE POULTRY,NO,Oman,,,,,,,550,83
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,104,42,145,32,875,173
01061400,RABBITS AND HARES,NO,Oman,,,104,42,145,32,875,173
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,,,349,94,,,447,122
01063190,OTHER BIRDS OF PREY,NO,Oman,,,349,94,,,447,122
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,,,2413,3405,,,5716,3748
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bahrain,,,,,,,450,213
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bangladesh,,,100,156,,,160,174
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,,,508,635,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,,,100,280,,,996,1176
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Saudi Arabia,,,1475,2106,,,1665,952
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Turkey,,,110,31,,,1730,753
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Viet Nam,,,120,197,,,715,480
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Uzbekistan,,,41,7638,900,1799,900,1799
01063900,OTHER BIRDS,NO,ALL COUNTRIES,,,218334,47466,4100,659,423478,84508
01063900,OTHER BIRDS,NO,Bahrain,,,,,,,7400,1579
01063900,OTHER BIRDS,NO,Indonesia,,,1562,1072,,,,
01063900,OTHER BIRDS,NO,Kuwait,,,9460,1246,,,28525,6056
01063900,OTHER BIRDS,NO,Malaysia,,,,,,,2050,372
01063900,OTHER BIRDS,NO,Mozambique,,,1030,262,,,,
01063900,OTHER BIRDS,NO,Oman,,,177436,39773,4100,659,294453,55413
01063900,OTHER BIRDS,NO,Saudi Arabia,,,16500,3264,,,23440,5374
01063900,OTHER BIRDS,NO,Turkey,,,12346,1849,,,66835,15591
01063900,OTHER BIRDS,NO,United Arab Emirates,,,,,,,775,123
01064100,BEES,NO,ALL COUNTRIES,161751,6809,541790,23264,154600,4771,1564294,34561
01064100,BEES,NO,Afghanistan,161751,6809,541790,23264,154600,4771,1564294,34561
01069000,OTHER LIVES ANIMALS,NO,ALL COUNTRIES,,,82305,20357,11915,3704,72237,26724
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,,,320,49,,,1340,604
01069000,OTHER LIVES ANIMALS,NO,Kuwait,,,,,,,14274,5279
01069000,OTHER LIVES ANIMALS,NO,Oman,,,79485,19266,10715,3213,39113,13917
01069000,OTHER LIVES ANIMALS,NO,Qatar,,,,,,,500,427
01069000,OTHER LIVES ANIMALS,NO,Saudi Arabia,,,,,,,7060,2613
01069000,OTHER LIVES ANIMALS,NO,Turkey,,,2500,1042,1200,491,9520,3720
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,,,,,,,230,80
01069000,OTHER LIVES ANIMALS,NO,Viet Nam,,,,,,,200,83
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,,,13000,7300,,,56930,26045
01069000,OTHER LIVES ANIMALS,NO,Bahrain,278789,163112,2692725,1538774,251619,134482,1954498,991957
01069000,OTHER LIVES ANIMALS,NO,Kuwait,850754,520497,8212174,5097074,758732,455820,8064242,4450917
01069000,OTHER LIVES ANIMALS,NO,Maldives,,,11868,7054,,,,
01069000,OTHER LIVES ANIMALS,NO,Oman,87011,43500,2203642,1182507,200650,115616,1748834,903592
01069000,OTHER LIVES ANIMALS,NO,Qatar,366577,201181,3169822,1780220,235550,142621,1801413,999445
01069000,OTHER LIVES ANIMALS,NO,Saudi Arabia,423254,256002,8754266,5218480,749197,455128,5748961,3178887
01069000,OTHER LIVES ANIMALS,NO,Singapore,,,27964,10836,,,,
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,2553878,1429019,25231873,14666061,2117019,1257851,20815360,11124862
01069000,OTHER LIVES ANIMALS,NO,Viet Nam,,,35000,19045,,,,
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,328000,189513,4087992,2236265,260600,141049,1224100,594523
01069000,OTHER LIVES ANIMALS,NO,Bahrain,45860,28991,1056226,584805,,,4860,2692
01069000,OTHER LIVES ANIMALS,NO,Kuwait,33800,22051,202322,127939,,,116326,64486
01069000,OTHER LIVES ANIMALS,NO,Maldives,,,3000,1877,,,7475,4215
01069000,OTHER LIVES ANIMALS,NO,Oman,4410,3028,267650,144724,16480,7692,102269,45349
01069000,OTHER LIVES ANIMALS,NO,Qatar,5300,2545,619425,327232,2760,1332,23716,10962
01069000,OTHER LIVES ANIMALS,NO,Saudi Arabia,91968,66232,423936,273829,,,35480,17694
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,373314,234974,1064402,627335,,,127865,66422
01069000,OTHER LIVES ANIMALS,NO,Azerbaijan,,,1191438,556285,40300,20547,1329854,688307
01069000,OTHER LIVES ANIMALS,NO,Bahrain,280,168,2369,1474,,,150,74
01069000,OTHER LIVES ANIMALS,NO,Kazakstan,,,,,,,74023,33736
01069000,OTHER LIVES ANIMALS,NO,Kuwait,,,3138,1911,1330,786,1617,969
01069000,OTHER LIVES ANIMALS,NO,Oman,9139,6455,22068,15336,,,5468,2486
01069000,OTHER LIVES ANIMALS,NO,Qatar,5508,3397,68048,42506,1440,865,6020,4052
01069000,OTHER LIVES ANIMALS,NO,Saudi Arabia,,,45434,31558,7975,5274,141015,87462
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,,,16703,9443,1525,1304,9670,6727
01069000,OTHER LIVES ANIMALS,NO,Bahrain,,,54223,31987,13909,7924,25080,14232
01069000,OTHER LIVES ANIMALS,NO,Hong Kong S.A.Re.Chi,,,869,468,,,105,49
01069000,OTHER LIVES ANIMALS,NO,Kuwait,,,695,417,1800,825,9451,5259
01069000,OTHER LIVES ANIMALS,NO,Maldives,,,6561,3503,,,,
01069000,OTHER LIVES ANIMALS,NO,Oman,,,73472,42083,21400,11066,78887,41634
