hs_code,commodity,unit,country,2014-2015_jun_quantity,2014-2015_jun_value_000rs,2014-2015_cum_quantity,2014-2015_cum_value_000rs,2013-2014_jun_quantity,2013-2014_jun_value_000rs,2013-2014_cum_quantity,2013-2014_cum_value_000rs
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,1,151,,,308,301
01019000,OTHER LIVE ANIMALS,NO,Germany,,,1,151,,,,
01019000,OTHER LIVE ANIMALS,NO,Qatar,,,,,,,308,301
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,,,,,4814,154007
01022110,PURE BRED BREEDING BULLS,NO,Oman,,,,,,,2341,74230
01022110,PURE BRED BREEDING BULLS,NO,United Arab Emirates,,,,,,,2473,79776
01022910,OTHER LIVE BULLS,NO,ALL COUNTRIES,,,,,,,504,15120
01022910,OTHER LIVE BULLS,NO,Afghanistan,,,,,,,504,15120
01022920,OTHER LIVE COWS,NO,ALL COUNTRIES,,,,,,,48,1440
01022920,OTHER LIVE COWS,NO,Afghanistan,,,,,,,48,1440
01022930,OTHER LIVE OXEN,NO,ALL COUNTRIES,,,,,,,463,13890
01022930,OTHER LIVE OXEN,NO,Afghanistan,,,,,,,463,13890
01022990,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,,,,,1342,42086
01022990,OTHER LIVE BOVINE ANIMALS,NO,Oman,,,,,,,642,20099
01022990,OTHER LIVE BOVINE ANIMALS,NO,United Arab Emirates,,,,,,,700,21987
01023900,OTHER BUFFALOES,NO,ALL COUNTRIES,,,,,,,185,5550
01023900,OTHER BUFFALOES,NO,Afghanistan,,,,,,,185,5550
01041000,SHEEP LIVE,NO,ALL COUNTRIES,,,,,,,3250,20436
01041000,SHEEP LIVE,NO,Oman,,,,,,,1450,9104
01041000,SHEEP LIVE,NO,United Arab Emirates,,,,,,,1800,11333
01042000,"GOATS, LIVE",NO,ALL COUNTRIES,,,,,,,685,4246
01042000,"GOATS, LIVE",NO,Oman,,,,,,,85,532
01042000,"GOATS, LIVE",NO,United Arab Emirates,,,,,,,600,3714
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,,,4715,1985,,,18750,5441
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,,,,,,,4000,380
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Bangladesh,,,,,,,14750,5061
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,,,1815,752,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Tajikistan,,,2900,1232,,,,
