hs_code,commodity,unit,country,2008-2009_quantity,2008-2009_value_000rs,2009-2010_quantity,2009-2010_value_000rs,2010-2011_quantity,2010-2011_value_000rs,2011-2012_quantity,2011-2012_value_000rs,2012-2013_quantity,2012-2013_value_000rs
01011000,PURE BRED BREEDING ANIMALS,NO,ALL COUNTRIES,1500,521,,,,,,,,
01011000,PURE BRED BREEDING ANIMALS,NO,United Arab Emirates,3,1500,2,521,,,,,,
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,5985,,,,,,,,,
01012100,PURE BRED BREEDING HORSES,NO,Germany,6,2556,,,,,,,,
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,7,3429,,,,,,,,
01012900,OTHER LIVE HORSES,NO,ALL COUNTRIES,9580,,,,,,,,,
01012900,OTHER LIVE HORSES,NO,Argentina,16,7940,,,,,,,,
01012900,OTHER LIVE HORSES,NO,Germany,3,1640,,,,,,,,
01019000,"OTHER, HORSES",NO,ALL COUNTRIES,15814,6931,26465,14019,15613,,,,,
01019000,"OTHER, HORSES",NO,Argentina,55,4618,8,5925,,,,,,
01019000,"OTHER, HORSES",NO,Canada,30,1441,,,,,,,,
01019000,"OTHER, HORSES",NO,Denmark,28,14238,3,1120,,,,,,
01019000,"OTHER, HORSES",NO,Germany,1,30,1,39,29,15947,7,2367,,
01019000,"OTHER, HORSES",NO,Japan,20,11386,,,,,,,,
01019000,"OTHER, HORSES",NO,Malaysia,1,53,,,,,,,,
01019000,"OTHER, HORSES",NO,South Africa,1,166,,,,,,,,
01019000,"OTHER, HORSES",NO,U.S.America,5,1256,3,1500,,,,,,
01019000,"OTHER, HORSES",NO,United Arab Emirates,3,1500,5,2848,6,2336,,,,
01019000,"OTHER, HORSES",NO,United Kingdom,1,46,8,4044,9,4644,3,1838,3,1500
01021020,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,5867,885,2548,,,,,,,
01021020,PURE BRED BREEDING BULLS,NO,Australia,24,5867,6,799,50,2548,,,,
01021020,PURE BRED BREEDING BULLS,NO,Oman,2,86,,,,,,,,
01021030,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,509157,351801,731193,,,,,,,
01021030,PURE BRED BREEDING COWS,NO,Australia,2836,509157,2119,350765,9560,731193,,,,
01021030,PURE BRED BREEDING COWS,NO,Oman,8,1036,,,,,,,,
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,5642,4043,,,,,,,,
01022110,PURE BRED BREEDING BULLS,NO,Australia,56,5642,10,4043,,,,,,
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,594132,1747281,,,,,,,,
01022120,PURE BRED BREEDING COWS,NO,Australia,2624,552218,6047,1695389,,,,,,
01022120,PURE BRED BREEDING COWS,NO,Sweden,78,41914,165,51892,,,,,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,ALL COUNTRIES,41992,,,,,,,,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,Sweden,165,41992,,,,,,,,
01022910,OTHER BULLS,NO,ALL COUNTRIES,555,,,,,,,,,
01022910,OTHER BULLS,NO,Australia,3,555,,,,,,,,
01022920,OTHER COWS,NO,ALL COUNTRIES,265157,441095,,,,,,,,
01022920,OTHER COWS,NO,Australia,1164,263855,1225,309437,,,,,,
01022920,OTHER COWS,NO,Bolivia,481,131658,,,,,,,,
01022920,OTHER COWS,NO,United Arab Emirates,7,1302,,,,,,,,
01029000,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,55,,,,,,,,,
01029000,OTHER LIVE BOVINE ANIMALS,NO,Belgium,1,55,,,,,,,,
01029030,OTHER COWS,NO,ALL COUNTRIES,148550,,,,,,,,,
01029030,OTHER COWS,NO,Australia,1723,148550,,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,103,228,5629,,,,,,,
