hs_code,commodity,unit,country,2020-2021_jun_quantity,2020-2021_jun_value_000rs,2020-2021_cum_quantity,2020-2021_cum_value_000rs,2019-2020_jun_quantity,2019-2020_jun_value_000rs,2019-2020_cum_quantity,2019-2020_cum_value_000rs
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,3,1711,153,275343,,,57,82024
01012100,PURE BRED BREEDING HORSES,NO,Argentina,,,36,61865,,,21,39760
01012100,PURE BRED BREEDING HORSES,NO,Belgium,,,19,37148,,,,
01012100,PURE BRED BREEDING HORSES,NO,Germany,,,18,35558,,,,
01012100,PURE BRED BREEDING HORSES,NO,Ireland,,,,,,,1,513
01012100,PURE BRED BREEDING HORSES,NO,Netherlands,,,31,60593,,,10,17216
01012100,PURE BRED BREEDING HORSES,NO,Oman,,,,,,,4,1650
01012100,PURE BRED BREEDING HORSES,NO,U.S.America,3,1711,5,2496,,,,
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,,,44,77683,,,21,22884
01012900,OTHER LIVE HORSES,NO,ALL COUNTRIES,,,3,593,,,,
01012900,OTHER LIVE HORSES,NO,United Kingdom,,,3,593,,,,
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,5,2225,,,4,212
01019000,OTHER LIVE ANIMALS,NO,Ireland,,,3,1484,,,,
01019000,OTHER LIVE ANIMALS,NO,Kyrgyzstan/Kyrgyz R.,,,,,,,1,56
01019000,OTHER LIVE ANIMALS,NO,Ukraine,,,,,,,2,131
01019000,OTHER LIVE ANIMALS,NO,United Kingdom,,,2,742,,,,
01019000,OTHER LIVE ANIMALS,NO,Uzbekistan,,,,,,,1,24
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,9,1830,,,4,925
01022110,PURE BRED BREEDING BULLS,NO,Australia,,,,,,,2,639
01022110,PURE BRED BREEDING BULLS,NO,U.S.America,,,9,1830,,,2,286
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,,,6065,1134802,,,7020,1263654
01022120,PURE BRED BREEDING COWS,NO,Australia,,,,,,,5073,965228
01022120,PURE BRED BREEDING COWS,NO,Netherlands,,,174,39705,,,,
01022120,PURE BRED BREEDING COWS,NO,Netherlands Antilles,,,,,,,195,47823
01022120,PURE BRED BREEDING COWS,NO,U.S.America,,,5891,1095097,,,1752,250603
01022910,OTHER LIVE BULLS,NO,ALL COUNTRIES,17,10433,17,10433,,,,
01022910,OTHER LIVE BULLS,NO,U.S.America,17,10433,17,10433,,,,
01041000,SHEEP LIVE,NO,ALL COUNTRIES,,,,,,,1304,5201
01041000,SHEEP LIVE,NO,Afghanistan,,,,,,,1304,5201
01042000,"GOATS, LIVE",NO,ALL COUNTRIES,,,100,903,,,,
01042000,"GOATS, LIVE",NO,Turkey,,,100,903,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,17680,11373,521514,1578379,,,536974,1386671
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Belgium,,,70,220,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Czech Republic,,,,,,,215,397
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,,,21048,34017,,,45985,98299
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Germany,,,5680,6099,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Hungary,,,,,,,480,1201
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Netherlands,17680,11373,47580,74392,,,7919,18411
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,New Zealand,,,1100,1216,,,25372,78293
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,,,179,510,,,37,81
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,U.S.America,,,281574,962944,,,372336,932202
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,United Kingdom,,,164283,498980,,,84630,257788
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,ALL COUNTRIES,3,18,3,18,,,529,1345
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,Belgium,3,18,3,18,,,529,1345
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,ALL COUNTRIES,,,,,,,60,196
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Belgium,,,,,,,60,196
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Bahrain,,,17,96,,,,
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Belgium,1475,2385,3790,9517,70,109,1206,2283
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Egypt(U.A.R.),,,48,161,,,,
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Netherlands,,,671,1892,,,70,147
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Oman,87,156,363,1252,,,286,620
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,United Arab Emirates,,,,,,,121,356
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,,,,,500,1273
01059900,OTH LIVE POULTRY,NO,Belgium,,,,,,,169,344
01059900,OTH LIVE POULTRY,NO,Netherlands,,,,,,,331,928
01061100,PRIMATES,NO,ALL COUNTRIES,,,,,,,1,5
01061100,PRIMATES,NO,United Kingdom,,,,,,,1,5
01061100,PRIMATES,NO,Ukraine,,,,,,,12,6855
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,52,50,164,448,,,927,2572
01061400,RABBITS AND HARES,NO,Belgium,52,50,164,448,,,797,2376
01061400,RABBITS AND HARES,NO,Canada,,,,,,,12,40
01061400,RABBITS AND HARES,NO,Indonesia,,,,,,,94,94
01061400,RABBITS AND HARES,NO,U.S.America,,,,,,,8,12
01061400,RABBITS AND HARES,NO,United Kingdom,,,,,,,16,49
01061900,OTHER MAMMALS,NO,ALL COUNTRIES,32,1939,198,12610,,,219,12177
01061900,OTHER MAMMALS,NO,Belgium,31,1888,147,9585,,,169,10470
01061900,OTHER MAMMALS,NO,Czech Republic,,,,,,,1,32
01061900,OTHER MAMMALS,NO,Germany,1,51,1,51,,,1,15
01061900,OTHER MAMMALS,NO,Hungary,,,,,,,6,150
01061900,OTHER MAMMALS,NO,Kenya,,,,,,,7,306
01061900,OTHER MAMMALS,NO,Lebanon,,,2,92,,,1,15
01061900,OTHER MAMMALS,NO,Netherlands,,,,,,,2,108
01061900,OTHER MAMMALS,NO,New Zealand,,,,,,,5,112
01061900,OTHER MAMMALS,NO,Poland,,,,,,,2,71
01061900,OTHER MAMMALS,NO,Serbia,,,1,112,,,1,26
01061900,OTHER MAMMALS,NO,South Africa,,,,,,,7,235
01061900,OTHER MAMMALS,NO,Thailand,,,,,,,2,71
01061900,OTHER MAMMALS,NO,Tunisia,,,,,,,1,15
01061900,OTHER MAMMALS,NO,Turkey,,,,,,,1,20
01061900,OTHER MAMMALS,NO,U.S.America,,,,,,,1,15
01061900,OTHER MAMMALS,NO,Ukraine,,,,,,,3,71
01061900,OTHER MAMMALS,NO,United Arab Emirates,,,27,1551,,,,
01061900,OTHER MAMMALS,NO,United Kingdom,,,20,1218,,,6,332
01061900,OTHER MAMMALS,NO,Viet Nam,,,,,,,1,15
01061900,OTHER MAMMALS,NO,Zimbabwe,,,,,,,2,94
01061900,OTHER MAMMALS,NO,Afghanistan,,,,,,,700,15
01061900,OTHER MAMMALS,NO,U.S.America,,,,,,,46,324
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,1519,2748,5416,10536,,,8788,25701
01063190,OTHER BIRDS OF PREY,NO,Bahrain,50,95,353,696,,,255,606
01063190,OTHER BIRDS OF PREY,NO,Belgium,,,,,,,67,199
01063190,OTHER BIRDS OF PREY,NO,Bulgaria,150,287,590,1326,,,349,914
01063190,OTHER BIRDS OF PREY,NO,Kuwait,14,28,188,593,,,,
01063190,OTHER BIRDS OF PREY,NO,Lebanon,,,100,144,,,,
01063190,OTHER BIRDS OF PREY,NO,Netherlands,620,914,1966,3650,,,3186,8234
01063190,OTHER BIRDS OF PREY,NO,Oman,620,1311,1822,3364,,,1488,4304
01063190,OTHER BIRDS OF PREY,NO,Philippines,,,150,217,,,50,83
01063190,OTHER BIRDS OF PREY,NO,Poland,,,,,,,337,947
01063190,OTHER BIRDS OF PREY,NO,Serbia,,,182,434,,,50,111
01063190,OTHER BIRDS OF PREY,NO,Spain,50,79,50,79,,,,
01063190,OTHER BIRDS OF PREY,NO,United Arab Emirates,15,33,15,33,,,3006,10305
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,3702,6939,10538,24534,,,19844,43160
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bahrain,,,216,365,,,156,395
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Belgium,130,285,442,1371,,,1282,1907
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Cyprus,,,,,,,950,1681
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Czech Republic,,,,,,,2667,7117
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Egypt(U.A.R.),,,,,,,12,27
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Guyana,,,,,,,1525,5072
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Jordan,,,64,222,,,1095,1716
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Lebanon,1081,2339,4586,10857,,,2156,5072
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Madagascar,,,,,,,296,444
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Malaysia,1100,1343,1100,1343,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Netherlands,325,748,1529,3276,,,1514,3385
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,,,,,,,450,1205
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Philippines,550,986,1797,3797,,,420,775
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Senegal,,,,,,,437,869
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Solomon Islands,516,1238,516,1238,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,South Africa,,,,,,,6798,13306
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Suriname,,,200,1351,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,United Arab Emirates,,,88,714,,,86,190
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Belgium,,,,,,,30,164
01063900,OTHER BIRDS,NO,ALL COUNTRIES,931,653,1026,1443,,,1490,4153
01063900,OTHER BIRDS,NO,Bahrain,37,29,37,29,,,70,178
01063900,OTHER BIRDS,NO,Belgium,286,257,330,677,,,302,890
01063900,OTHER BIRDS,NO,Egypt(U.A.R.),22,17,30,61,,,,
01063900,OTHER BIRDS,NO,Malaysia,,,35,264,,,7,62
01063900,OTHER BIRDS,NO,Netherlands,586,349,586,349,,,825,2226
01063900,OTHER BIRDS,NO,Philippines,,,8,63,,,66,163
01063900,OTHER BIRDS,NO,Poland,,,,,,,72,205
01063900,OTHER BIRDS,NO,Serbia,,,,,,,109,277
01063900,OTHER BIRDS,NO,United Kingdom,,,,,,,39,153
01064100,BEES,NO,ALL COUNTRIES,,,169525,20745,,,975293,56466
01064100,BEES,NO,Afghanistan,,,169525,20745,,,975293,56466
01069000,OTHER LIVES ANIMALS,NO,ALL COUNTRIES,,,,,,,130,8184
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,,,,,,,1,36
01069000,OTHER LIVES ANIMALS,NO,Australia,,,,,,,2,211
01069000,OTHER LIVES ANIMALS,NO,Bahrain,,,,,,,2,156
01069000,OTHER LIVES ANIMALS,NO,Canada,,,,,,,1,67
01069000,OTHER LIVES ANIMALS,NO,Czech Republic,,,,,,,2,180
01069000,OTHER LIVES ANIMALS,NO,Germany,,,,,,,2,222
01069000,OTHER LIVES ANIMALS,NO,India,,,,,,,1,92
01069000,OTHER LIVES ANIMALS,NO,Kazakstan,,,,,,,2,177
01069000,OTHER LIVES ANIMALS,NO,Kyrgyzstan/Kyrgyz R.,,,,,,,12,633
01069000,OTHER LIVES ANIMALS,NO,Malaysia,,,,,,,2,100
01069000,OTHER LIVES ANIMALS,NO,Netherlands,,,,,,,23,1332
01069000,OTHER LIVES ANIMALS,NO,Oman,,,,,,,1,56
01069000,OTHER LIVES ANIMALS,NO,Poland,,,,,,,4,265
01069000,OTHER LIVES ANIMALS,NO,Republic of Moldova,,,,,,,5,262
01069000,OTHER LIVES ANIMALS,NO,Romania,,,,,,,3,180
01069000,OTHER LIVES ANIMALS,NO,Russian Federation,,,,,,,2,121
01069000,OTHER LIVES ANIMALS,NO,Saudi Arabia,,,,,,,2,98
01069000,OTHER LIVES ANIMALS,NO,Serbia,,,,,,,4,372
01069000,OTHER LIVES ANIMALS,NO,Sri Lanka,,,,,,,1,65
01069000,OTHER LIVES ANIMALS,NO,Switzerland,,,,,,,4,192
01069000,OTHER LIVES ANIMALS,NO,Thailand,,,,,,,3,161
01069000,OTHER LIVES ANIMALS,NO,U.S.America,,,,,,,11,643
01069000,OTHER LIVES ANIMALS,NO,Ukraine,,,,,,,9,564
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,,,,,,,16,1078
01069000,OTHER LIVES ANIMALS,NO,United Kingdom,,,,,,,3,145
01069000,OTHER LIVES ANIMALS,NO,Uzbekistan,,,,,,,12,775
01069000,OTHER LIVES ANIMALS,NO,Singapore,,,,,,,295,237
01069000,OTHER LIVES ANIMALS,NO,Australia,33,187,49,275,,,,
01069000,OTHER LIVES ANIMALS,NO,Bahrain,,,,,,,2090,1180
01069000,OTHER LIVES ANIMALS,NO,Australia,,,569,274,,,,
01069000,OTHER LIVES ANIMALS,NO,New Zealand,1088,479,1088,479,,,,
01069000,OTHER LIVES ANIMALS,NO,Norway,,,689,281,,,,
01069000,OTHER LIVES ANIMALS,NO,Turkey,,,1101,469,,,,
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,20699,8656,117746,50349,3678,1491,28358,11882
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,,,,,,,16670,7374
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,196,84,21586,3096,,,,
01069000,OTHER LIVES ANIMALS,NO,Australia,,,,,2408,1548,29890,22398
01069000,OTHER LIVES ANIMALS,NO,India,,,,,,,25505,20757
01069000,OTHER LIVES ANIMALS,NO,Jordan,10240,12409,17981,21396,,,12936,10749
01069000,OTHER LIVES ANIMALS,NO,Singapore,,,,,,,6,6
01069000,OTHER LIVES ANIMALS,NO,United Arab Emirates,14299,11649,189994,159349,11013,8556,134033,116203
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,,,,,,,530,225
01069000,OTHER LIVES ANIMALS,NO,China,,,,,,,400,223
01069000,OTHER LIVES ANIMALS,NO,Germany,,,25613,2675,,,,
01069000,OTHER LIVES ANIMALS,NO,India,,,,,,,87950,46710
01069000,OTHER LIVES ANIMALS,NO,Iran ( Islamic R.),46548,2374,148273,9592,,,4500,1020
01069000,OTHER LIVES ANIMALS,NO,Latvia,,,,,,,7016,2317
