hs_code,commodity,unit,country,2018-2019_jun_quantity,2018-2019_jun_value_000rs,2018-2019_cum_quantity,2018-2019_cum_value_000rs,2017-2018_jun_quantity,2017-2018_jun_value_000rs,2017-2018_cum_quantity,2017-2018_cum_value_000rs
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,,,98,28382,112,53409,161,68157
01012100,PURE BRED BREEDING HORSES,NO,Argentina,,,38,9835,16,11659,16,11659
01012100,PURE BRED BREEDING HORSES,NO,Belgium,,,,,,,6,1080
01012100,PURE BRED BREEDING HORSES,NO,Denmark,,,15,4565,87,39227,90,40842
01012100,PURE BRED BREEDING HORSES,NO,Netherlands,,,3,1154,,,7,2564
01012100,PURE BRED BREEDING HORSES,NO,Qatar,,,,,,,6,1616
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,,,42,12829,9,2522,36,10396
01012900,OTHER LIVE HORSES,NO,ALL COUNTRIES,,,11,4224,,,,
01012900,OTHER LIVE HORSES,NO,Belgium,,,10,4054,,,,
01012900,OTHER LIVE HORSES,NO,U.S.America,,,1,170,,,,
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,10,1198,,,,
01019000,OTHER LIVE ANIMALS,NO,South Africa,,,10,1198,,,,
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,165,41059,1179,214538,359,57486,524,109722
01022120,PURE BRED BREEDING COWS,NO,Netherlands,165,41059,1179,214538,175,28191,340,80428
01022120,PURE BRED BREEDING COWS,NO,United Kingdom,,,,,184,29294,184,29294
01029000,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,,,12,319,12,319
01029000,OTHER LIVE BOVINE ANIMALS,NO,U.S.America,,,,,12,319,12,319
01041000,SHEEP LIVE,NO,ALL COUNTRIES,,,70486,298359,,,,
01041000,SHEEP LIVE,NO,Afghanistan,,,70486,298359,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,9450,12764,414458,697667,77220,130365,573483,832199
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Czech Republic,,,,,,,2635,2873
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,,,70158,102562,,,57470,64157
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Germany,,,,,,,52026,72190
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Hungary,,,5500,7501,3880,4848,3880,4848
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Netherlands,,,19976,26897,,,41772,57232
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Spain,,,,,,,6620,6622
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,U.S.America,9450,12764,142546,197103,73340,125517,190785,323533
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,United Kingdom,,,176278,363604,,,218295,300746
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,21,44,25,78,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,United Arab Emirates,63,135,167,357,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,50,160,,,100,128
01059900,OTH LIVE POULTRY,NO,Belgium,,,,,,,50,66
01059900,OTH LIVE POULTRY,NO,China,,,,,,,50,62
01059900,OTH LIVE POULTRY,NO,Netherlands,,,50,160,,,,
01059900,OTH LIVE POULTRY,NO,Netherlands,,,,,,,6,449
01061900,OTHER MAMMALS,NO,ALL COUNTRIES,51,1439,690,17649,5,185,208,6600
01061900,OTHER MAMMALS,NO,Antigua and Barbuda,,,1,26,,,,
01061900,OTHER MAMMALS,NO,Bahrain,,,,,,,1,29
01061900,OTHER MAMMALS,NO,Belgium,,,30,1280,,,137,4120
01061900,OTHER MAMMALS,NO,Canada,,,,,,,1,25
01061900,OTHER MAMMALS,NO,"Congo, Republic of",,,58,1432,,,,
01061900,OTHER MAMMALS,NO,Egypt(U.A.R.),,,1,20,,,,
01061900,OTHER MAMMALS,NO,Germany,2,41,4,92,,,2,86
01061900,OTHER MAMMALS,NO,Guatemala,4,61,4,61,,,,
01061900,OTHER MAMMALS,NO,Hungary,3,66,6,148,,,4,65
01061900,OTHER MAMMALS,NO,Ireland,,,,,,,4,80
01061900,OTHER MAMMALS,NO,Italy,1,26,1,26,,,1,70
01061900,OTHER MAMMALS,NO,Kenya,,,7,186,,,,
01061900,OTHER MAMMALS,NO,Kuwait,,,,,,,6,124
01061900,OTHER MAMMALS,NO,Lebanon,,,2,41,,,,
01061900,OTHER MAMMALS,NO,Netherlands,,,90,1828,,,,
01061900,OTHER MAMMALS,NO,Poland,8,163,16,372,,,3,66
01061900,OTHER MAMMALS,NO,Qatar,,,,,,,2,102
01061900,OTHER MAMMALS,NO,Russian Federation,,,1,26,,,2,99
01061900,OTHER MAMMALS,NO,Serbia,1,31,6,158,,,1,50
01061900,OTHER MAMMALS,NO,South Africa,3,113,256,6138,5,185,25,1101
01061900,OTHER MAMMALS,NO,Sudan,,,19,540,,,,
01061900,OTHER MAMMALS,NO,Thailand,1,31,4,102,,,3,68
01061900,OTHER MAMMALS,NO,Turkey,,,,,,,1,35
01061900,OTHER MAMMALS,NO,U.S.America,,,8,210,,,1,15
01061900,OTHER MAMMALS,NO,Ukraine,2,55,4,101,,,2,68
01061900,OTHER MAMMALS,NO,United Arab Emirates,1,26,19,900,,,4,246
01061900,OTHER MAMMALS,NO,United Kingdom,25,826,153,3963,,,8,151
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,1586,2102,5115,8342,799,854,3687,4490
01063190,OTHER BIRDS OF PREY,NO,Bahrain,,,67,110,40,45,40,45
01063190,OTHER BIRDS OF PREY,NO,Bulgaria,,,,,,,500,565
01063190,OTHER BIRDS OF PREY,NO,China,,,,,180,139,180,139
01063190,OTHER BIRDS OF PREY,NO,Egypt(U.A.R.),,,,,,,96,104
01063190,OTHER BIRDS OF PREY,NO,Kuwait,,,,,270,226,270,226
01063190,OTHER BIRDS OF PREY,NO,Netherlands,738,1200,2830,5543,304,437,2404,3179
01063190,OTHER BIRDS OF PREY,NO,Oman,848,902,1930,2139,5,7,5,7
01063190,OTHER BIRDS OF PREY,NO,Philippines,,,32,68,,,,
01063190,OTHER BIRDS OF PREY,NO,Saudi Arabia,,,120,228,,,,
01063190,OTHER BIRDS OF PREY,NO,United Arab Emirates,,,26,65,,,,
01063190,OTHER BIRDS OF PREY,NO,United Kingdom,,,109,189,,,192,224
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,4802,11696,28168,50901,8232,11562,37852,49023
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bahrain,,,159,165,620,654,1047,1212
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Belgium,,,354,574,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Czech Republic,,,4798,8186,642,672,4710,5656
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Egypt(U.A.R.),,,,,25,27,78,88
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Guinea,,,,,,,845,982
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Guyana,722,1556,6211,10698,2310,4482,4199,7448
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Italy,,,,,,,535,738
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,,,,,,,12,13
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Netherlands,45,83,1449,2246,269,363,2712,3253
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,,,234,316,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Philippines,,,200,461,506,510,1159,1285
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Senegal,,,,,,,400,431
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Solomon Islands,750,2663,3180,6172,980,1225,2578,3087
