hs_code,commodity,unit,country,2002-2003_quantity,2002-2003_value_000rs,2003-2004_quantity,2003-2004_value_000rs,2004-2005_quantity,2004-2005_value_000rs,2005-2006_quantity,2005-2006_value_000rs,2006-2007_quantity,2006-2007_value_000rs,2007-2008_quantity,2007-2008_value_000rs
01011000,PURE BRED BREEDING ANIMALS,NO,ALL COUNTRIES,1,747,,,,,,,,,,
01011000,PURE BRED BREEDING ANIMALS,NO,United Kingdom,1,747,,,,,,,,,,
01019000,"OTHER, HORSES",NO,ALL COUNTRIES,6,1338,16,640,1,49,3,1382,85,16122,25,10020
01019000,"OTHER, HORSES",NO,Argentina,16,5509,,,,,,,,,,
01019000,"OTHER, HORSES",NO,Australia,1,133,,,,,,,,,,
01019000,"OTHER, HORSES",NO,Dubai,16,640,3,1382,,,,,,,,
01019000,"OTHER, HORSES",NO,Germany,1,50,5,1932,19,8412,,,,,,
01019000,"OTHER, HORSES",NO,Italy,1,37,,,,,,,,,,
01019000,"OTHER, HORSES",NO,Malaysia,3,1200,,,,,,,,,,
01019000,"OTHER, HORSES",NO,Netherlands,1,51,4,1538,,,,,,,,
01019000,"OTHER, HORSES",NO,South Africa,1,51,,,,,,,,,,
01019000,"OTHER, HORSES",NO,Sri Lanka,1,20,,,,,,,,,,
01019000,"OTHER, HORSES",NO,U.S.America,1,49,,,,,,,,,,
01019000,"OTHER, HORSES",NO,United Arab Emirates,4,1659,,,,,,,,,,
01019000,"OTHER, HORSES",NO,United Kingdom,58,6883,,,,,,,,,,
01019000,"OTHER, HORSES",NO,Yemen,1,6,,,,,,,,,,
01021020,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,11,2325,,,,,,,,,,
01021020,PURE BRED BREEDING BULLS,NO,Afghanistan,4,172,,,,,,,,,,
01021020,PURE BRED BREEDING BULLS,NO,Australia,7,2153,,,,,,,,,,
01021030,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,2115,200883,820,100857,,,,,,,,
01021030,PURE BRED BREEDING COWS,NO,Australia,2115,200883,820,100857,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,ALL COUNTRIES,14,265,4,153,14,592,24,652,10,443,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Australia,2,79,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Canada,3,50,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Dubai,1,50,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Germany,1,25,2,43,6,160,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Italy,1,20,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,Thailand,9,80,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,U.R.of Tanzania,13,255,,,,,,,,,,
01021090,OTH PURE BRED BREEDING ANIMAL,NO,United Kingdom,2,90,2,110,6,352,11,397,7,393,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,2,11,16,208,4,120,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,Netherlands,1,37,,,,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,U.R.of Tanzania,2,11,15,171,,,,,,,,
01029090,OTHER LIVE BOVINE ANIMALS,NO,U.S.America,3,120,,,,,,,,,,
01041000,SHEEP LIVE,NO,ALL COUNTRIES,116,826,,,,,,,,,,
01041000,SHEEP LIVE,NO,India,116,826,,,,,,,,,,
