hs_code,commodity,unit,country,2013-2014_jun_quantity,2013-2014_jun_value_000rs,2013-2014_cum_quantity,2013-2014_cum_value_000rs,2012-2013_jun_quantity,2012-2013_jun_value_000rs,2012-2013_cum_quantity,2012-2013_cum_value_000rs
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,308,301,,,,
01019000,OTHER LIVE ANIMALS,NO,Qatar,,,308,301,,,,
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,4814,154007,2780,82595,22581,650915
01022110,PURE BRED BREEDING BULLS,NO,Afghanistan,,,,,,,205,6200
01022110,PURE BRED BREEDING BULLS,NO,Oman,,,2341,74230,580,17095,7374,214254
01022110,PURE BRED BREEDING BULLS,NO,United Arab Emirates,,,2473,79776,2200,65501,15002,430461
01022110,PURE BRED BREEDING BULLS,NO,Oman,,,,,,,826,23719
01022110,PURE BRED BREEDING BULLS,NO,United Arab Emirates,,,,,,,3195,93059
01022910,OTHER LIVE BULLS,NO,ALL COUNTRIES,,,504,15120,1003,30090,5866,176885
01022910,OTHER LIVE BULLS,NO,Afghanistan,,,504,15120,1003,30090,5866,176885
01022920,OTHER LIVE COWS,NO,ALL COUNTRIES,,,48,1440,543,16290,1990,59700
01022920,OTHER LIVE COWS,NO,Afghanistan,,,48,1440,543,16290,1990,59700
01022930,OTHER LIVE OXEN,NO,ALL COUNTRIES,,,463,13890,663,19890,5604,168120
01022930,OTHER LIVE OXEN,NO,Afghanistan,,,463,13890,663,19890,5604,168120
01022990,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,1342,42086,936,27643,2196,64402
01022990,OTHER LIVE BOVINE ANIMALS,NO,Oman,,,642,20099,516,15229,1656,48479
01022990,OTHER LIVE BOVINE ANIMALS,NO,United Arab Emirates,,,700,21987,420,12415,540,15923
01023900,OTHER BUFFALOES,NO,ALL COUNTRIES,,,185,5550,1723,51690,5842,178265
01023900,OTHER BUFFALOES,NO,Afghanistan,,,185,5550,1723,51690,5842,178265
01029000,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,,,,,185,5710
01029000,OTHER LIVE BOVINE ANIMALS,NO,Oman,,,,,,,165,4856
01029000,OTHER LIVE BOVINE ANIMALS,NO,United Arab Emirates,,,,,,,20,854
01041000,SHEEP LIVE,NO,ALL COUNTRIES,,,3250,20436,165,975,11785,67573
01041000,SHEEP LIVE,NO,Oman,,,1450,9104,,,3880,22221
01041000,SHEEP LIVE,NO,United Arab Emirates,,,1800,11333,165,975,7905,45351
01042000,"GOATS, LIVE",NO,ALL COUNTRIES,,,685,4246,700,4141,2970,55795
01042000,"GOATS, LIVE",NO,Oman,,,85,532,,,801,11126
01042000,"GOATS, LIVE",NO,United Arab Emirates,,,600,3714,700,4141,2169,44669
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,,,18750,5441,25000,3020,41425,5369
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,,,4000,380,25000,3020,41425,5369
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Bangladesh,,,14750,5061,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,,,717300,54330,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Hong Kong S.A.Re.Chi,,,175,19,,,,
