hs_code,commodity,unit,country,2021-2022_jun_quantity,2021-2022_jun_value_000rs,2021-2022_cum_quantity,2021-2022_cum_value_000rs,2020-2021_jun_quantity,2020-2021_jun_value_000rs,2020-2021_cum_quantity,2020-2021_cum_value_000rs
01042000,"GOATS, LIVE",NO,ALL COUNTRIES,,,,,,,8000,509
01042000,"GOATS, LIVE",NO,Afghanistan,,,,,,,8000,509
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,685000,12330,3175293,59946,607002,9433,26240702,428968
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,3164293,12330,685000,59752,607002,9433,26240702,428968
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Kyrgyzstan/Kyrgyz R.,11000,,,194,,,,
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,ALL COUNTRIES,235300,43640,2931778,455798,388116,61298,7163298,1125894
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,Afghanistan,2931285,43640,235300,455223,387901,60985,7147005,1118306
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,Kuwait,,,,,,,45,283
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,Oman,493,,,575,215,312,14758,7058
01059400,OTH FOWLS OF THE SPE (CHICKEN) NO,,Saudi Arabia,,,,,,,1490,247
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,211100,35914,240000,16785,367000,27081
01059900,OTH LIVE POULTRY,NO,Afghanistan,211100,,,35914,240000,16785,367000,27081
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,,,,,32,260
01061400,RABBITS AND HARES,NO,Oman,,,,,,,32,260
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,,,,,,,96,60
01063190,OTHER BIRDS OF PREY,NO,Oman,,,,,,,96,60
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,31640,11910,105836,38571,78101,25320,522481,144654
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Indonesia,,,,,,,2670,1609
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Jordan,10250,3272,7050,3970,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,7125,2579,3925,3989,4950,2081,28425,13130
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Malaysia,,,,,,,100,64
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,22131,6002,20615,6371,11351,2337,203658,40685
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Philippines,,,,,,,12,32
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Saudi Arabia,66030,,,24014,61800,20902,263322,83874
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Turkey,300,58,50,227,,,24294,5261
01063900,OTHER BIRDS,NO,ALL COUNTRIES,9656,5030,251817,89970,72815,29802,384519,119615
01063900,OTHER BIRDS,NO,Bahrain,3498,,,698,,,,
01063900,OTHER BIRDS,NO,Indonesia,650,,,1580,,,1666,3495
01063900,OTHER BIRDS,NO,Jordan,27675,1103,1025,11875,,,,
01063900,OTHER BIRDS,NO,Kuwait,64595,1040,1050,24754,2700,947,15340,6452
01063900,OTHER BIRDS,NO,Malaysia,,,,,,,3685,2144
01063900,OTHER BIRDS,NO,Oman,130685,2887,7581,41643,9714,2093,179781,41806
01063900,OTHER BIRDS,NO,Saudi Arabia,22084,,,8512,58651,26415,160227,61313
01063900,OTHER BIRDS,NO,Turkey,2630,,,908,1750,348,23710,4235
01063900,OTHER BIRDS,NO,Viet Nam,,,,,,,110,171
01064100,BEES,NO,ALL COUNTRIES,28812,749,2271142,60808,238700,7361,1931238,73027
01064100,BEES,NO,Afghanistan,2271142,749,28812,60808,238700,7361,1931238,73027
01069000,OTHER LIVES ANIMALS,NO,ALL COUNTRIES,,,2478,1065,,,7709,1638
01069000,OTHER LIVES ANIMALS,NO,Jordan,1500,,,758,,,,
01069000,OTHER LIVES ANIMALS,NO,"Korea, Republic of",978,,,307,,,,
01069000,OTHER LIVES ANIMALS,NO,Oman,,,,,,,7709,1638
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,ALL COUNTRIES,5268745,4730700,60561525,49078109,4066694,2653835,53619132,31276807
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Afghanistan,20670,,,12898,,,18569,8995
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Bahrain,2630853,164313,192384,2088092,130085,76771,3267725,1874648
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Hong Kong S.A.Re.Chi,19269,,,6115,,,,
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Jordan,2424,,,2969,,,,
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Kuwait,8517594,686001,614660,8312829,705503,476387,9813237,6102129
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Oman,1509901,115881,148259,1069595,92049,52163,1788454,972088
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Qatar,5533296,506586,571129,4363966,355879,209416,5230353,2903629
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Saudi Arabia,7122080,609059,625522,6216104,388380,247272,6248005,3825465
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,U.S.America,,,,,,,300,207
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,United Arab Emirates,35188938,2648859,3116791,26994933,2394798,1591826,27252489,15589645
02011000,CARCASSES BOV ANIMAL FRE/CHILLKG,,Uzbekistan,16500,,,10609,,,,
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,ALL COUNTRIES,421568,410171,3803260,3151138,847569,649092,14698218,8904005
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Afghanistan,5000,,,3112,81500,43935,8813365,4930260
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Bahrain,767314,97624,99474,651909,84680,61624,688408,449541
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Jordan,7200,,,5799,,,,
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Kuwait,967849,100986,95728,828586,90457,66422,867933,570533
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Maldives,51967,,,33690,,,13260,7618
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Oman,97619,9910,11320,64921,2744,2110,61162,37171
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Qatar,19839,7143,8969,14603,11925,10583,190572,137343
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,Saudi Arabia,348990,13541,12909,331301,55644,50189,447910,318817
02012000,OTH CUT WITH BONE BOVIN ANIMAL KG,,United Arab Emirates,1537482,180967,193168,1217218,520619,414229,3615608,2452721
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,ALL COUNTRIES,540,658,27631,24593,2589,1976,49764,30991
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Bahrain,4610,,,3198,,,10689,6739
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Jordan,65,,,56,,,,
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Kuwait,,,,,,,15500,9333
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Oman,3038,,,3171,,,60,53
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Qatar,1290,,,1063,,,3454,2074
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,Saudi Arabia,4017,,,3972,,,7110,4265
02013000,MEAT OF BOV ANIM F/CH BON LESS KG,,United Arab Emirates,14611,658,540,13132,2589,1976,12951,8528
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,ALL COUNTRIES,49834,32258,171862,105572,10000,5301,3782662,2003453
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Afghanistan,,,,,,,28546,13896
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Bahrain,,,,,,,10525,5227
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Hong Kong S.A.Re.Chi,,,,,,,56120,25084
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Kuwait,23428,,,13869,,,10800,6488
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Maldives,,,,,,,7600,4195
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Oman,392,,,227,,,36306,19157
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Qatar,1420,,,797,,,,
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Saudi Arabia,38214,,,23620,10000,5301,81578,41166
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,United Arab Emirates,,,,,,,3551187,1888239
02021000,CARCASSES OF BOVIN ANIMAL FROZKG,,Uzbekistan,108408,32258,49834,67058,,,,
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,ALL COUNTRIES,51498,36158,800556,508752,11340,9694,443566,263798
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Afghanistan,,,,,,,500,240
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Bahrain,19882,,,9719,,,8298,5135
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Hong Kong S.A.Re.Chi,,,,,,,20000,9618
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Kuwait,33656,,,22249,,,107581,60698
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Maldives,68636,,,43416,,,54504,31453
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Oman,78570,,,38482,,,15000,8132
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Qatar,61,,,41,,,,
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,Saudi Arabia,543051,36158,51498,356320,11340,9694,131645,79165
02022000,"OTH CUTS WITH BONE IN,BOV FROZ KG",,United Arab Emirates,56700,,,38525,,,106038,69358
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,ALL COUNTRIES,69307,45592,390557,240755,31060,16631,1112364,593118
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Azerbaijan,60000,,,37437,,,20000,10679
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Bahrain,680,,,406,,,,
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Hong Kong S.A.Re.Chi,14000,,,7436,5000,2315,89775,47428
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Malaysia,,,,,,,549094,289615
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Maldives,363,,,211,,,,
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Oman,10400,,,4754,,,,
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Qatar,5643,,,4042,,,279,179
02023000,MEAT BOV ANIMAL FROZE BONELESSKG,,Saudi Arabia,178990,17183,25100,112057,26060,14315,160048,84504
