hs_code,commodity,unit,country,2021-2022_jun_quantity,2021-2022_jun_value_000rs,2021-2022_cum_quantity,2021-2022_cum_value_000rs,2020-2021_jun_quantity,2020-2021_jun_value_000rs,2020-2021_cum_quantity,2020-2021_cum_value_000rs
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,2,912,1281,260402,3,1711,153,275343
01012100,PURE BRED BREEDING HORSES,NO,Argentina,33,,,60704,,,36,61865
01012100,PURE BRED BREEDING HORSES,NO,Belgium,1,,,325,,,19,37148
01012100,PURE BRED BREEDING HORSES,NO,China,2,,,820,,,,
01012100,PURE BRED BREEDING HORSES,NO,Czech Republic,10,,,8,,,,
01012100,PURE BRED BREEDING HORSES,NO,Europien Union,4,,,7304,,,,
01012100,PURE BRED BREEDING HORSES,NO,Germany,28,,,38151,,,18,35558
01012100,PURE BRED BREEDING HORSES,NO,Indonesia,1,,,159,,,,
01012100,PURE BRED BREEDING HORSES,NO,Japan,2,,,3479,,,,
01012100,PURE BRED BREEDING HORSES,NO,"Korea, Republic of",2,,,470,,,,
01012100,PURE BRED BREEDING HORSES,NO,Netherlands,198,912,2,88768,,,31,60593
01012100,PURE BRED BREEDING HORSES,NO,U.S.America,82,,,17441,3,1711,5,2496
01012100,PURE BRED BREEDING HORSES,NO,United Arab Emirates,82,,,1246,,,,
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,56,,,39395,,,44,77683
01012100,PURE BRED BREEDING HORSES,NO,Viet Nam,780,,,2131,,,,
01012900,OTHER LIVE HORSES,NO,ALL COUNTRIES,,,19,7355,,,3,593
01012900,OTHER LIVE HORSES,NO,Netherlands,19,,,7355,,,,
01012900,OTHER LIVE HORSES,NO,United Kingdom,,,,,,,3,593
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,,,,,5,2225
01019000,OTHER LIVE ANIMALS,NO,Ireland,,,,,,,3,1484
01019000,OTHER LIVE ANIMALS,NO,United Kingdom,,,,,,,2,742
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,28,7647,,,9,1830
01022110,PURE BRED BREEDING BULLS,NO,U.S.America,28,,,7647,,,9,1830
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,,,20572,3987807,,,6065,1134802
01022120,PURE BRED BREEDING COWS,NO,Netherlands,1591,,,245851,,,174,39705
01022120,PURE BRED BREEDING COWS,NO,U.S.America,18981,,,3741955,,,5891,1095097
01022910,OTHER LIVE BULLS,NO,ALL COUNTRIES,,,3,2029,17,10433,17,10433
01022910,OTHER LIVE BULLS,NO,U.S.America,3,,,2029,17,10433,17,10433
01022920,OTHER LIVE COWS,NO,ALL COUNTRIES,,,6,3044,,,,
01022920,OTHER LIVE COWS,NO,U.S.America,6,,,3044,,,,
01041000,SHEEP LIVE,NO,ALL COUNTRIES,,,31,177,,,,
01041000,SHEEP LIVE,NO,Afghanistan,31,,,177,,,,
01042000,"GOATS, LIVE",NO,ALL COUNTRIES,,,,,,,100,903
01042000,"GOATS, LIVE",NO,Turkey,,,,,,,100,903
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,,,3170963,2274617,17680,11373,521514,1578379
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Belgium,,,,,,,70,220
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,691808,,,398138,,,21048,34017
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Germany,,,,,,,5680,6099
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Netherlands,135016,,,112255,17680,11373,47580,74392
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,New Zealand,217777,,,167018,,,1100,1216
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,663,,,620,,,179,510
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Spain,34960,,,40625,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,U.S.America,1586395,,,1221683,,,281574,962944
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,United Kingdom,504344,,,334278,,,164283,498980
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,ALL COUNTRIES,,,42,248,3,18,3,18
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,Belgium,42,,,248,3,18,3,18
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,ALL COUNTRIES,,,8557,13652,1562,2541,4889,12918
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Bahrain,27,,,55,,,17,96
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Belgium,5086,,,10110,1475,2385,3790,9517
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Egypt(U.A.R.),,,,,,,48,161
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Malaysia,40,,,82,,,,
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Netherlands,208,,,437,,,671,1892
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Oman,2915,,,2400,87,156,363,1252
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Sri Lanka,281,,,568,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,12,43,,,,
01059900,OTH LIVE POULTRY,NO,China,12,,,43,,,,
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,41,43,52,50,164,448
01061400,RABBITS AND HARES,NO,Belgium,41,,,43,52,50,164,448
01061900,OTHER MAMMALS,NO,ALL COUNTRIES,,,130,7792,32,1939,198,12610
01061900,OTHER MAMMALS,NO,Belgium,74,,,4804,31,1888,147,9585
01061900,OTHER MAMMALS,NO,Germany,,,,,1,51,1,51
01061900,OTHER MAMMALS,NO,Lebanon,,,,,,,2,92
01061900,OTHER MAMMALS,NO,Netherlands,1,,,71,,,,
01061900,OTHER MAMMALS,NO,Saudi Arabia,6,,,368,,,,
01061900,OTHER MAMMALS,NO,Serbia,,,,,,,1,112
01061900,OTHER MAMMALS,NO,South Africa,1,,,71,,,,
01061900,OTHER MAMMALS,NO,United Arab Emirates,48,,,2477,,,27,1551
01061900,OTHER MAMMALS,NO,United Kingdom,,,,,,,20,1218
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,,,18558,29546,1519,2748,5416,10536
01063190,OTHER BIRDS OF PREY,NO,Bahrain,308,,,597,50,95,353,696
01063190,OTHER BIRDS OF PREY,NO,Belgium,2106,,,3969,,,,
01063190,OTHER BIRDS OF PREY,NO,Bulgaria,380,,,691,150,287,590,1326
