hs_code,commodity,unit,country,2023-2024_jun_quantity,2023-2024_jun_value_000rs,2023-2024_cum_quantity,2023-2024_cum_value_000rs,2022-2023_jun_quantity,2022-2023_jun_value_000rs,2022-2023_cum_quantity,2022-2023_cum_value_000rs
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,,,4,2189,,,62,105627
01012100,PURE BRED BREEDING HORSES,NO,Argentina,,,,,,5456,2,0
01012100,PURE BRED BREEDING HORSES,NO,Germany,,,,,,7582,11,0
01012100,PURE BRED BREEDING HORSES,NO,Hong Kong S.A.Re.Chi,,,,,,7,,0
01012100,PURE BRED BREEDING HORSES,NO,Ireland,,,,,,1749,3,0
01012100,PURE BRED BREEDING HORSES,NO,Saudi Arabia,3,1547,,,,,,0
01012100,PURE BRED BREEDING HORSES,NO,Turkey,,,,,,78525,36,0
01012100,PURE BRED BREEDING HORSES,NO,U.S.America,,,,,,3525,6,0
01012100,PURE BRED BREEDING HORSES,NO,United Arab Emirates,,,,,,8242,3,0
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,1,642,,,,,,0
01012100,PURE BRED BREEDING HORSES,NO,Viet Nam,,,,,,540,1,0
01012900,OTHER LIVE HORSES,NO,ALL COUNTRIES,3,1870,21,51706,,,118,158374
01012900,OTHER LIVE HORSES,NO,Argentina,,,,,,59334,28,0
01012900,OTHER LIVE HORSES,NO,Belgium,,,,,,33639,31,0
01012900,OTHER LIVE HORSES,NO,Germany,16,42945,3,,,16698,6,1870
01012900,OTHER LIVE HORSES,NO,Iran ( Islamic R.),2,1141,,,,,,0
01012900,OTHER LIVE HORSES,NO,Netherlands,3,7619,,,,29379,43,0
01012900,OTHER LIVE HORSES,NO,United Kingdom,,,,,,19324,10,0
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,2,257,,,,
01022110,PURE BRED BREEDING BULLS,NO,Australia,2,257,,,,,,0
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,,,1393,435039,,,1388,396431
01022120,PURE BRED BREEDING COWS,NO,Australia,1220,223254,,,,396431,1388,0
01022120,PURE BRED BREEDING COWS,NO,Brazil,173,211786,,,,,,0
01022910,OTHER LIVE BULLS,NO,ALL COUNTRIES,,,,,,,1,3345
01022910,OTHER LIVE BULLS,NO,U.S.America,,,,,,3345,1,0
01023100,PURE BRED BREEDING BUFFALOES,NO,ALL COUNTRIES,,,,,,,3,2007
01023100,PURE BRED BREEDING BUFFALOES,NO,U.S.America,,,,,,2007,3,0
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,26000,50665,356672,2679493,30,13,906997,2185910
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,21000,22723,,,,348253,133901,0
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Netherlands,80856,164716,26000,,,28688,12328,50665
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,New Zealand,,,,,,52418,24961,0
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,74,396,,13,30,90,100,0
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Spain,5760,11516,,,,10655,5074,0
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Sri Lanka,,,,,,105,88,0
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,U.S.America,156682,1619365,,,,1745701,730545,0
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,United Kingdom,92300,860776,,,,,,0
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,ALL COUNTRIES,18,162,492,4013,23,23,1742,2924
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Bahrain,9,76,,,,445,155,0
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Belgium,18,162,18,,,,,162
