source_file,source_kind,source_sheet,2002-03,mineral,province,period_type,period_order,period,value,unit
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,4816.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,5183.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,3804.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,6750.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,8049.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,6389.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,5275.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,6571.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,9271.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,6739.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,6710.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,2443.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,1916.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,399.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,879.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,237.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,1111.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,1,2-Jul,0.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,2,2-Aug,3667.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,2,2-Aug,4328.0,MT
Mineral-Production-Data-2020-21.pdf,xlsx,mineral production,2002-03,(ONYX),Balochistan,month,2,2-Aug,2369.0,MT
