Source_File,Date,Category,Item_No,Item_Description,Unit,City,Metric,Value
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Islamabad,MIN,2533.33
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Islamabad,AVG,2569.91
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Islamabad,MAX,2600.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Rawalpindi,MIN,1810.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Rawalpindi,AVG,2133.72
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Rawalpindi,MAX,2600.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Gujranwala,MIN,1810.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Gujranwala,AVG,1951.06
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Gujranwala,MAX,2267.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Sialkot,MIN,1810.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Sialkot,AVG,1969.81
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Sialkot,MAX,2333.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Lahore,MIN,1810.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Lahore,AVG,1810.0
Annex_02.04.2026.xlsx,2026-04-02,CONSUMER PRICES OF ESSENTIAL ITEMS,1,Wheat Flour Bag,20 Kg,Lahore,MAX,1810.0
