source_pdf,year,s_no,items,unit,weight,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,year_total,page,table_index
Table-2-23-24-1.pdf,2023-24,3-Jan,"Sugar, Bakery products and Chocolate & sugar confectionery",MT,3.43,0,0,0,0,220036,2063249,2138327,1873522,467123,3932,29809,0,6795998,1,1
Table-2-23-24-1.pdf,2023-24,2,Bakery products,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Table-2-23-24-1.pdf,2023-24,3,Chocolate & sugar confectionery,MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Table-2-23-24-1.pdf,2023-24,4,Cooking oil,MT,1.48,51158,52936,51382,51192,53618,55078,52446,53246,54485,54026,55314,56933,641814,1,1
Table-2-23-24-1.pdf,2023-24,5,Vegetable ghee,MT,1.38,122480,123769,121315,129311,128094,126574,128044,125192,121706,117033,125699,122775,1491992,1,1
Table-2-23-24-1.pdf,2023-24,7-Jun,Wheat & Rice Milling,MT,3.66,776407,795932,829598,818268,826295,765238,781138,810578,840726,847256,828185,841654,9761275,1,1
Table-2-23-24-1.pdf,2023-24,9-Aug,Starch & its products,MT,0.27,36851,36767,36979,35841,36723,36972,37062,35752,36407,36578,36607,37612,440151,1,1
Table-2-23-24-1.pdf,2023-24,8,Starch,MT,0,21985,22646,22760,21987,22811,22915,22936,21996,22466,22577,22581,23471,271131,1,1
Table-2-23-24-1.pdf,2023-24,9,Glucose,MT,0,14866,14121,14219,13854,13912,14057,14126,13756,13941,14001,14026,14141,169020,1,1
Table-2-23-24-1.pdf,2023-24,10,Tea blended,MT,0.48,10642,12717,12177,11236,12123,12035,11280,11093,12373,11199,9913,9447,136235,1,1
Table-2-23-24-1.pdf,2023-24,12-Nov,Soft drinks and Mineral waters,000 Litres,1.63,317899,282750,237951,193695,171845,128361,147606,188173,267949.2,268100.4,304348.2,353045.2,2861723,1,1
Table-2-23-24-1.pdf,2023-24,13-15,"Juices, syrups & squashes",000 L,2.21,35442,32665,32228,26443,24242,23305,25462,33389,27005,29231,35994,33434,358840,1,1
Table-2-23-24-1.pdf,2023-24,13,Fruit Juices,000 L,0,26424,22307,22382,17425,14558,12280,13289,21121,18937,20900,27733,26397,243753,1,1
Table-2-23-24-1.pdf,2023-24,14,Syrups & squashes,000 L,0,9018,10358,9846,9018,9684,11025,12173,12268,8068,8331,8261,7037,115087,1,1
Table-2-23-24-1.pdf,2023-24,15,Preserved Milk,000 L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Table-2-23-24-1.pdf,2023-24,16,Liquors,000 L,0,79,79,79,79,79,79,79,79.5,79.5,79.5,79.5,79.5,954,1,1
Table-2-23-24-1.pdf,2023-24,17,Cigarettes,Mil. Nos.,2.07,1573,2651,2186,2918,2440,3018,2044,2874,3611,3103,4062,2445,32925,1,1
Table-2-23-24-1.pdf,2023-24,18-19,Yarn,MT,8.88,202030,202160,202215,202295,202400,202600,202850,208738,209050,209364,213859,219672,2477233,1,1
Table-2-23-24-1.pdf,2023-24,20-21,Cloth,000 Sq M,7.29,72270,72500,72530,72550,72560,72570,72580,72588,72600,72850,72885,72950,871433,1,1
Table-2-23-24-1.pdf,2023-24,22-24,JUTE GOODS (TOTAL),MT,0.33,3063,3574,3631,3408,3310,3010,2997,3026,4422,3447,4905,2316,41109,1,1
Table-2-23-24-1.pdf,2023-24,22,Hessian,MT,0,833,1014,944,1060,1123,1272,1226,1089,876,577,701,675,11390,1,1
Table-2-23-24-1.pdf,2023-24,23,Sacking,MT,0,2013,2211,2324,2010,1855,1446,1515,1723,3310,2707,3956,1381,26451,1,1
Table-2-23-24-1.pdf,2023-24,24,Others,MT,0,217,349,363,338,332,292,256,214,236,163,248,260,3268,1,1
Table-2-23-24-1.pdf,2023-24,25,Terry towels & Bath robes,MT,0.59,15069,18743,18351,19649,16367,18241,19975,19969,19989,16701,21857,17808,222719,1,1
Table-2-23-24-1.pdf,2023-24,26,Woollen & carpet yarn,MT,0.05,1682,1902,1726,2135,2121,2084,1816,1675,1799,1351,1616,1505,21412,1,1
Table-2-23-24-1.pdf,2023-24,27,Woolen & worsted cloth,000 Sq M,0.09,73,110,122,125,146,150,122,121,120,43,62,68,1262,1,1
Table-2-23-24-1.pdf,2023-24,28,Knitting wool,MT,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Table-2-23-24-1.pdf,2023-24,29,Woolen blankets,Nos,0.91,1387,6383,3462,4956,4357,3173,3312,3312,3312,1345,3400,4339,42738,1,1
Table-2-23-24-1.pdf,2023-24,30,Garments,000' Dozen,6.08,5235,6169,5702,6441,6311,6324,6717,6653,6325,6197,7364,6315,75753,1,1
Table-2-23-24-1.pdf,2023-24,31,Upper leather,000 Sq M,0.4,1095,1122,1174,1182,1151,1133,1144,1111,1038,1006,1009,1086,13251,1,1
Table-2-23-24-1.pdf,2023-24,32,Sole leather,,0,16,16,16,20,14,14,14,15,16,16,16,16,189,1,1
Table-2-23-24-1.pdf,2023-24,33,Footwear,`000' Pairs,0.83,2827,2786,2842,2865,2875,2902,2960,2982,2990,3045,3035,3043,35152,1,1
Table-2-23-24-1.pdf,2023-24,34,Plywood,000 Sq Ft,0.09,535,567,577,612,638,655,661,576,586,592,589,592,7180,1,1
