source_pdf,year,s_no,items,unit,weight,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,year_total,page,table_index
Table-2-23-24-1.pdf,2023-24,3-Jan,"Sugar, Bakery products and Chocolate & sugar confectionery",MT,3.43,0.0,0.0,0.0,0.0,220036.0,2063249.0,2138327.0,1873522.0,467123.0,3932.0,29809.0,0.0,6795998.0,1,1
Table-2-23-24-1.pdf,2023-24,2,Bakery products,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,3,Chocolate & sugar confectionery,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,4,Cooking oil,MT,1.48,51158.0,52936.0,51382.0,51192.0,53618.0,55078.0,52446.0,53246.0,54485.0,54026.0,55314.0,56933.0,641814.0,1,1
Table-2-23-24-1.pdf,2023-24,5,Vegetable ghee,MT,1.38,122480.0,123769.0,121315.0,129311.0,128094.0,126574.0,128044.0,125192.0,121706.0,117033.0,125699.0,122775.0,1491992.0,1,1
Table-2-23-24-1.pdf,2023-24,7-Jun,Wheat & Rice Milling,MT,3.66,776407.0,795932.0,829598.0,818268.0,826295.0,765238.0,781138.0,810578.0,840726.0,847256.0,828185.0,841654.0,9761275.0,1,1
Table-2-23-24-1.pdf,2023-24,9-Aug,Starch & its products,MT,0.27,36851.0,36767.0,36979.0,35841.0,36723.0,36972.0,37062.0,35752.0,36407.0,36578.0,36607.0,37612.0,440151.0,1,1
Table-2-23-24-1.pdf,2023-24,8,Starch,MT,0.0,21985.0,22646.0,22760.0,21987.0,22811.0,22915.0,22936.0,21996.0,22466.0,22577.0,22581.0,23471.0,271131.0,1,1
Table-2-23-24-1.pdf,2023-24,9,Glucose,MT,0.0,14866.0,14121.0,14219.0,13854.0,13912.0,14057.0,14126.0,13756.0,13941.0,14001.0,14026.0,14141.0,169020.0,1,1
Table-2-23-24-1.pdf,2023-24,10,Tea blended,MT,0.48,10642.0,12717.0,12177.0,11236.0,12123.0,12035.0,11280.0,11093.0,12373.0,11199.0,9913.0,9447.0,136235.0,1,1
Table-2-23-24-1.pdf,2023-24,12-Nov,Soft drinks and Mineral waters,000 Litres,1.63,317899.0,282750.0,237951.0,193695.0,171845.0,128361.0,147606.0,188173.0,267949.2,268100.4,304348.2,353045.2,2861723.0,1,1
Table-2-23-24-1.pdf,2023-24,13-15,"Juices, syrups & squashes",000 L,2.21,35442.0,32665.0,32228.0,26443.0,24242.0,23305.0,25462.0,33389.0,27005.0,29231.0,35994.0,33434.0,358840.0,1,1
Table-2-23-24-1.pdf,2023-24,13,Fruit Juices,000 L,0.0,26424.0,22307.0,22382.0,17425.0,14558.0,12280.0,13289.0,21121.0,18937.0,20900.0,27733.0,26397.0,243753.0,1,1
Table-2-23-24-1.pdf,2023-24,14,Syrups & squashes,000 L,0.0,9018.0,10358.0,9846.0,9018.0,9684.0,11025.0,12173.0,12268.0,8068.0,8331.0,8261.0,7037.0,115087.0,1,1
Table-2-23-24-1.pdf,2023-24,15,Preserved Milk,000 L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,16,Liquors,000 L,0.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.5,79.5,79.5,79.5,79.5,954.0,1,1
Table-2-23-24-1.pdf,2023-24,17,Cigarettes,Mil. Nos.,2.07,1573.0,2651.0,2186.0,2918.0,2440.0,3018.0,2044.0,2874.0,3611.0,3103.0,4062.0,2445.0,32925.0,1,1
Table-2-23-24-1.pdf,2023-24,18-19,Yarn,MT,8.88,202030.0,202160.0,202215.0,202295.0,202400.0,202600.0,202850.0,208738.0,209050.0,209364.0,213859.0,219672.0,2477233.0,1,1
Table-2-23-24-1.pdf,2023-24,20-21,Cloth,000 Sq M,7.29,72270.0,72500.0,72530.0,72550.0,72560.0,72570.0,72580.0,72588.0,72600.0,72850.0,72885.0,72950.0,871433.0,1,1
Table-2-23-24-1.pdf,2023-24,22-24,JUTE GOODS (TOTAL),MT,0.33,3063.0,3574.0,3631.0,3408.0,3310.0,3010.0,2997.0,3026.0,4422.0,3447.0,4905.0,2316.0,41109.0,1,1
Table-2-23-24-1.pdf,2023-24,22,Hessian,MT,0.0,833.0,1014.0,944.0,1060.0,1123.0,1272.0,1226.0,1089.0,876.0,577.0,701.0,675.0,11390.0,1,1
Table-2-23-24-1.pdf,2023-24,23,Sacking,MT,0.0,2013.0,2211.0,2324.0,2010.0,1855.0,1446.0,1515.0,1723.0,3310.0,2707.0,3956.0,1381.0,26451.0,1,1
Table-2-23-24-1.pdf,2023-24,24,Others,MT,0.0,217.0,349.0,363.0,338.0,332.0,292.0,256.0,214.0,236.0,163.0,248.0,260.0,3268.0,1,1
Table-2-23-24-1.pdf,2023-24,25,Terry towels & Bath robes,MT,0.59,15069.0,18743.0,18351.0,19649.0,16367.0,18241.0,19975.0,19969.0,19989.0,16701.0,21857.0,17808.0,222719.0,1,1
Table-2-23-24-1.pdf,2023-24,26,Woollen & carpet yarn,MT,0.05,1682.0,1902.0,1726.0,2135.0,2121.0,2084.0,1816.0,1675.0,1799.0,1351.0,1616.0,1505.0,21412.0,1,1
Table-2-23-24-1.pdf,2023-24,27,Woolen & worsted cloth,000 Sq M,0.09,73.0,110.0,122.0,125.0,146.0,150.0,122.0,121.0,120.0,43.0,62.0,68.0,1262.0,1,1
Table-2-23-24-1.pdf,2023-24,28,Knitting wool,MT,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,29,Woolen blankets,Nos,0.91,1387.0,6383.0,3462.0,4956.0,4357.0,3173.0,3312.0,3312.0,3312.0,1345.0,3400.0,4339.0,42738.0,1,1
Table-2-23-24-1.pdf,2023-24,30,Garments,000' Dozen,6.08,5235.0,6169.0,5702.0,6441.0,6311.0,6324.0,6717.0,6653.0,6325.0,6197.0,7364.0,6315.0,75753.0,1,1
Table-2-23-24-1.pdf,2023-24,31,Upper leather,000 Sq M,0.4,1095.0,1122.0,1174.0,1182.0,1151.0,1133.0,1144.0,1111.0,1038.0,1006.0,1009.0,1086.0,13251.0,1,1
Table-2-23-24-1.pdf,2023-24,32,Sole leather,,0.0,16.0,16.0,16.0,20.0,14.0,14.0,14.0,15.0,16.0,16.0,16.0,16.0,189.0,1,1
Table-2-23-24-1.pdf,2023-24,33,Footwear,`000' Pairs,0.83,2827.0,2786.0,2842.0,2865.0,2875.0,2902.0,2960.0,2982.0,2990.0,3045.0,3035.0,3043.0,35152.0,1,1
Table-2-23-24-1.pdf,2023-24,34,Plywood,000 Sq Ft,0.09,535.0,567.0,577.0,612.0,638.0,655.0,661.0,576.0,586.0,592.0,589.0,592.0,7180.0,1,1
Table-2-23-24-1.pdf,2023-24,35,Chip Board,MT,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,36-39,Paper,,0.0,28998.0,29848.0,32013.0,29630.0,31795.0,31227.0,32567.0,32789.0,29865.0,28425.0,31757.0,27248.0,366162.0,1,1
Table-2-23-24-1.pdf,2023-24,,Paper Board,,0.0,27261.0,38031.0,34049.0,39637.0,34653.0,35720.0,35205.0,37425.0,40520.0,29400.0,36338.0,32242.0,420481.0,1,1
Table-2-23-24-1.pdf,2023-24,40,Corrugated paper/ paperboard containers,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,41,Coke,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
Table-2-23-24-1.pdf,2023-24,42-52,Petroleum Products,000 L,6.66,90.96,95.81,92.7,89.71,101.3,105.48,91.68,74.28,103.69,106.11,97.55,94.29,95.3,1,1
Table-2-23-24-1.pdf,2023-24,42,Jet fuel oil,000 L,0.47,59053.0,61399.0,62957.0,73898.0,67652.0,72081.0,75062.0,52409.0,70223.2,78135.5,64970.2,61160.9,799000.0,1,1
Table-2-23-24-1.pdf,2023-24,43,Kerosene oil,000 L,0.08,8105.0,7673.0,9027.0,8664.0,7850.0,7588.0,7726.0,7080.2,7615.5,11613.5,9530.8,8656.8,101130.0,1,1
Table-2-23-24-1.pdf,2023-24,44,Motor spirits,000 L,1.08,273321.0,279347.0,286757.0,245725.0,295044.0,286818.0,264589.0,224048.1,244325.6,306449.2,288482.1,299277.6,3294184.0,1,1
Table-2-23-24-1.pdf,2023-24,45,High speed diesel,000 L,2.51,429660.0,455655.0,455516.0,411498.0,499705.0,456745.0,413310.0,348886.9,479048.6,481287.8,473938.0,434641.3,5339891.0,1,1
Table-2-23-24-1.pdf,2023-24,46,Diesel oil n.o.s.,000 L,0.02,1411.0,2613.0,747.0,4194.0,1264.0,2161.0,1752.0,710.0,931.0,2713.6,1431.6,1279.7,21207.0,1,1
Table-2-23-24-1.pdf,2023-24,47,Furnace oil,000 L,0.96,209625.0,222503.0,192792.0,255851.0,222703.0,278307.0,176919.0,146711.4,224700.2,263099.2,235760.3,204424.1,2633394.0,1,1
