hs_code,commodity,unit,country,2020-2021_jun_quantity,2020-2021_jun_value_000rs,2020-2021_cum_quantity,2020-2021_cum_value_000rs,2019-2020_jun_quantity,2019-2020_jun_value_000rs,2019-2020_cum_quantity,2019-2020_cum_value_000rs
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,,,,,500,171
01019000,OTHER LIVE ANIMALS,NO,Qatar,,,,,,,500,171
01041000,SHEEP LIVE,NO,ALL COUNTRIES,,,,,,,46,2698
01041000,SHEEP LIVE,NO,Afghanistan,,,,,,,46,2698
01042000,"GOATS, LIVE",NO,ALL COUNTRIES,,,8000,509,,,,
01042000,"GOATS, LIVE",NO,Afghanistan,,,8000,509,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,607002,9433,26240702,428968,442000,7236,3348054,135040
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,607002,9433,26240702,428968,442000,7236,3348054,135040
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,387901,60985,7147005,1118306,68953,11461,1397897,217340
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Indonesia,,,,,,,330,185
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Kuwait,,,45,283,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,215,312,14758,7058,,,26882,7617
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Saudi Arabia,,,1490,247,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,240000,16785,367000,27081,795519,94592,3884555,524361
01059900,OTH LIVE POULTRY,NO,Afghanistan,240000,16785,367000,27081,795519,94592,3884555,524361
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,32,260,,,104,42
01061400,RABBITS AND HARES,NO,Oman,,,32,260,,,104,42
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,,,96,60,,,349,94
01063190,OTHER BIRDS OF PREY,NO,Oman,,,96,60,,,349,94
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,78101,25320,522481,144654,,,2413,3405
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bangladesh,,,,,,,100,156
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Indonesia,,,2670,1609,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,4950,2081,28425,13130,,,508,635
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Malaysia,,,100,64,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,11351,2337,203658,40685,,,100,280
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Philippines,,,12,32,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Saudi Arabia,61800,20902,263322,83874,,,1475,2106
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Turkey,,,24294,5261,,,110,31
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Viet Nam,,,,,,,120,197
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Uzbekistan,,,,,,,41,7638
01063900,OTHER BIRDS,NO,ALL COUNTRIES,72815,29802,384519,119615,,,218334,47466
01063900,OTHER BIRDS,NO,Indonesia,,,1666,3495,,,1562,1072
01063900,OTHER BIRDS,NO,Kuwait,2700,947,15340,6452,,,9460,1246
01063900,OTHER BIRDS,NO,Malaysia,,,3685,2144,,,,
01063900,OTHER BIRDS,NO,Mozambique,,,,,,,1030,262
01063900,OTHER BIRDS,NO,Oman,9714,2093,179781,41806,,,177436,39773
01063900,OTHER BIRDS,NO,Saudi Arabia,58651,26415,160227,61313,,,16500,3264
01063900,OTHER BIRDS,NO,Turkey,1750,348,23710,4235,,,12346,1849
01063900,OTHER BIRDS,NO,Viet Nam,,,110,171,,,,
01064100,BEES,NO,ALL COUNTRIES,238700,7361,1931238,73027,161751,6809,541790,23264
01064100,BEES,NO,Afghanistan,238700,7361,1931238,73027,161751,6809,541790,23264
01069000,OTHER LIVES ANIMALS,NO,ALL COUNTRIES,,,7709,1638,,,82305,20357
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,,,,,,,320,49
01069000,OTHER LIVES ANIMALS,NO,Oman,,,7709,1638,,,79485,19266
01069000,OTHER LIVES ANIMALS,NO,Turkey,,,,,,,2500,1042
01069000,OTHER LIVES ANIMALS,NO,Afghanistan,,,18569,8995,,,13000,7300
01069000,OTHER LIVES ANIMALS,NO,Bahrain,130085,76771,3267725,1874648,278789,163112,2692725,1538774
01069000,OTHER LIVES ANIMALS,NO,Kuwait,705503,476387,9813237,6102129,850754,520497,8212174,5097074
01069000,OTHER LIVES ANIMALS,NO,Maldives,,,,,,,11868,7054
01069000,OTHER LIVES ANIMALS,NO,Oman,92049,52163,1788454,972088,87011,43500,2203642,1182507
