hs_code,commodity,unit,country,2016-2017_jun_quantity,2016-2017_jun_value_000rs,2016-2017_cum_quantity,2016-2017_cum_value_000rs,2015-2016_jun_quantity,2015-2016_jun_value_000rs,2015-2016_cum_quantity,2015-2016_cum_value_000rs
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,1932,400,,,,
01019000,OTHER LIVE ANIMALS,NO,Qatar,,,1932,400,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,,,17000,1772,1800,188,22940,2454
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,,,17000,1772,1800,188,22900,2422
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,,,,,,,40,32
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Oman,,,11000,1224,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,304386,35240,4621848,474582,361891,37424,2649338,278395
01059900,OTH LIVE POULTRY,NO,Afghanistan,304386,35240,4592835,471942,361891,37424,2609171,266999
01059900,OTH LIVE POULTRY,NO,Australia,,,,,,,800,83
01059900,OTH LIVE POULTRY,NO,Bahrain,,,,,,,1202,444
01059900,OTH LIVE POULTRY,NO,Indonesia,,,,,,,1818,1091
01059900,OTH LIVE POULTRY,NO,Malaysia,,,,,,,979,302
01059900,OTH LIVE POULTRY,NO,Oman,,,9013,947,,,34768,9371
01059900,OTH LIVE POULTRY,NO,United Arab Emirates,,,,,,,600,104
01059900,OTH LIVE POULTRY,NO,Viet Nam,,,20000,1694,,,,
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,,,,,200,73
01061400,RABBITS AND HARES,NO,Oman,,,,,,,200,73
01061400,RABBITS AND HARES,NO,South Africa,5,585,5,585,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,3005,627,157130,35961,4450,1017,117588,25790
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bahrain,,,13922,4386,,,10990,2068
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Egypt(U.A.R.),,,400,84,,,900,179
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Indonesia,,,7192,2015,1200,459,1850,854
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,,,21799,6097,,,27080,7649
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,,,55983,10689,3250,558,75968,14739
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Saudi Arabia,3005,627,56990,12269,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Turkey,,,844,422,,,800,300
