hs_code,commodity,unit,country,2015-2016_jun_quantity,2015-2016_jun_value_000rs,2015-2016_cum_quantity,2015-2016_cum_value_000rs,2014-2015_jun_quantity,2014-2015_jun_value_000rs,2014-2015_cum_quantity,2014-2015_cum_value_000rs
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,,,33,15658,,,31,17848
01012100,PURE BRED BREEDING HORSES,NO,Argentina,,,28,14155,,,24,14924
01012100,PURE BRED BREEDING HORSES,NO,Belgium,,,,,,,3,1678
01012100,PURE BRED BREEDING HORSES,NO,France,,,1,320,,,,
01012100,PURE BRED BREEDING HORSES,NO,U.S.America,,,1,320,,,,
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,,,3,863,,,4,1245
01012900,OTHER LIVE HORSES,NO,ALL COUNTRIES,,,12,6000,,,,
01012900,OTHER LIVE HORSES,NO,United Kingdom,,,12,6000,,,,
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,5,1854,,,1007,8617
01019000,OTHER LIVE ANIMALS,NO,Argentina,,,,,,,6,1845
01019000,OTHER LIVE ANIMALS,NO,Ireland,,,,,,,1001,6771
01019000,OTHER LIVE ANIMALS,NO,Oman,,,1,55,,,,
01019000,OTHER LIVE ANIMALS,NO,South Africa,,,1,36,,,,
01019000,OTHER LIVE ANIMALS,NO,United Kingdom,,,3,1762,,,,
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,,,,,2,611
01022110,PURE BRED BREEDING BULLS,NO,Australia,,,,,,,2,611
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,,,3776,818973,,,3421,825059
01022120,PURE BRED BREEDING COWS,NO,Australia,,,3290,692137,,,1491,374028
01022120,PURE BRED BREEDING COWS,NO,Netherlands,,,185,57163,,,1930,451031
01022120,PURE BRED BREEDING COWS,NO,U.S.America,,,301,69673,,,,
01022120,PURE BRED BREEDING COWS,NO,Australia,,,257,22324,,,,
01022910,OTHER LIVE BULLS,NO,ALL COUNTRIES,,,1,133,,,,
01022910,OTHER LIVE BULLS,NO,U.S.America,,,1,133,,,,
01022920,OTHER LIVE COWS,NO,ALL COUNTRIES,,,,,,,38,6492
01022920,OTHER LIVE COWS,NO,Australia,,,,,,,38,6492
01029000,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,10,500,,,,
01029000,OTHER LIVE BOVINE ANIMALS,NO,Belgium,,,10,500,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,36000,36916,589881,461410,57672,46888,487157,369549
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Canada,6000,6207,6000,6207,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,10000,12576,132498,119246,20712,17702,170170,132051
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Germany,20000,18133,35000,30762,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Netherlands,,,31992,21171,23960,18077,35160,30540
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Poland,,,46848,26671,13000,11108,112539,82757
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,South Africa,,,,,,,211,174
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Spain,,,21840,12609,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,U.S.America,,,315703,244744,,,169077,124027
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,ALL COUNTRIES,,,116,240,,,,
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,Belgium,,,116,240,,,,
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,ALL COUNTRIES,,,20,29,,,,
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Belgium,,,20,29,,,,
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Thailand,,,,,,,18,15
01051400,"GEESE,WEIGHT UPTO 185 GRAMS",NO,Belgium,,,85,209,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,401213,626824,,,560709,541430
01059900,OTH LIVE POULTRY,NO,Belgium,,,26,46,,,,
01059900,OTH LIVE POULTRY,NO,Czech Republic,,,2000,725,,,,
01059900,OTH LIVE POULTRY,NO,France,,,,,,,11517,7717
01059900,OTH LIVE POULTRY,NO,Germany,,,,,,,100000,55019
01059900,OTH LIVE POULTRY,NO,Netherlands,,,156784,231068,,,193454,173023
01059900,OTH LIVE POULTRY,NO,South Africa,,,2500,763,,,,
01059900,OTH LIVE POULTRY,NO,U.S.America,,,135960,235946,,,87468,144615
01059900,OTH LIVE POULTRY,NO,United Arab Emirates,,,,,,,22,11
01059900,OTH LIVE POULTRY,NO,United Kingdom,,,103943,158277,,,168248,161046
01061100,PRIMATES,NO,ALL COUNTRIES,,,4,100,,,,
01061100,PRIMATES,NO,United Arab Emirates,,,4,100,,,,
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,,,,,15,54
01061400,RABBITS AND HARES,NO,Indonesia,,,,,,,13,33
01061400,RABBITS AND HARES,NO,United Arab Emirates,,,,,,,2,20
01061900,OTHER MAMMALS,NO,ALL COUNTRIES,2,60,509,18316,55,2099,496,21915
01061900,OTHER MAMMALS,NO,Australia,,,,,,,1,73
01061900,OTHER MAMMALS,NO,Bahrain,,,,,5,190,5,190
01061900,OTHER MAMMALS,NO,Belgium,,,65,2725,,,4,175
01061900,OTHER MAMMALS,NO,Bulgaria,,,3,140,,,,
01061900,OTHER MAMMALS,NO,Canada,,,,,,,10,500
01061900,OTHER MAMMALS,NO,China,,,300,9499,,,,
01061900,OTHER MAMMALS,NO,Germany,,,2,70,,,3,80
01061900,OTHER MAMMALS,NO,Japan,,,,,,,6,333
01061900,OTHER MAMMALS,NO,"Korea, Republic of",,,1,85,2,50,3,75
01061900,OTHER MAMMALS,NO,Mozambique,,,8,340,,,,
01061900,OTHER MAMMALS,NO,Netherlands,,,40,1396,,,265,12064
01061900,OTHER MAMMALS,NO,O.Asia(Tai.For.Pe.Ki,,,,,,,1,25
01061900,OTHER MAMMALS,NO,Poland,,,,,,,6,276
01061900,OTHER MAMMALS,NO,Saudi Arabia,,,,,,,2,100
01061900,OTHER MAMMALS,NO,Singapore,,,,,,,2,77
01061900,OTHER MAMMALS,NO,Slovakia/Slovak R.,,,2,119,,,,
01061900,OTHER MAMMALS,NO,South Africa,,,52,2196,47,1816,62,2742
01061900,OTHER MAMMALS,NO,Sri Lanka,,,1,85,,,,
01061900,OTHER MAMMALS,NO,Thailand,,,2,80,,,1,20
01061900,OTHER MAMMALS,NO,U.S.America,,,,,1,43,4,155
01061900,OTHER MAMMALS,NO,United Arab Emirates,2,60,2,60,,,14,435
01061900,OTHER MAMMALS,NO,United Kingdom,,,31,1520,,,107,4592
01061900,OTHER MAMMALS,NO,U.R.of Tanzania,,,,,,,4,52
01061900,OTHER MAMMALS,NO,U.S.America,,,625,401,,,91,1101
01061900,OTHER MAMMALS,NO,United Kingdom,,,2,43,,,,
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,30,32,1588,1638,90,141,1071,1449
01063190,OTHER BIRDS OF PREY,NO,Germany,,,17,24,,,,
01063190,OTHER BIRDS OF PREY,NO,Netherlands,30,32,1516,1579,90,141,940,1312
01063190,OTHER BIRDS OF PREY,NO,O.Asia(Tai.For.Pe.Ki,,,55,35,,,,
01063190,OTHER BIRDS OF PREY,NO,Philippines,,,,,,,111,113
01063190,OTHER BIRDS OF PREY,NO,United Kingdom,,,,,,,20,25
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,4885,6289,110106,87561,10073,4793,162244,91692
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bahrain,,,855,749,360,160,2729,1451
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Belgium,244,197,4750,4240,381,179,12430,5742
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Cameroon,,,1500,603,,,1270,601
01063200,PSITTACIFORMES(INCL.PARROTS),NO,"Congo, Republic of",,,12498,10259,,,7575,3624
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Czech Republic,368,218,11522,7955,,,12474,7143
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Guinea,,,,,,,895,390
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Guyana,,,,,1925,1200,11258,5394
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Hong Kong S.A.Re.Chi,,,110,78,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,India,,,,,,,33,18
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Indonesia,,,418,335,,,4360,2400
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Jordan,,,110,80,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,,,,,,,450,400
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Malaysia,,,,,,,800,160
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Mali,,,,,,,915,866
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Mozambique,620,459,1625,1292,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Netherlands,278,185,18006,13419,1438,763,42542,22514
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,200,161,395,546,,,70,42
