hs_code,commodity,unit,country,2008-2009_quantity,2008-2009_value_000rs,2009-2010_quantity,2009-2010_value_000rs,2010-2011_quantity,2010-2011_value_000rs,2011-2012_quantity,2011-2012_value_000rs,2012-2013_quantity,2012-2013_value_000rs
01019000,"OTHER, HORSES",NO,ALL COUNTRIES,430,2443,46,1403,41,12,,,,
01019000,"OTHER, HORSES",NO,Afghanistan,430,2443,32,916,,,,,,
01019000,"OTHER, HORSES",NO,Australia,3,103,,,,,,,,
01019000,"OTHER, HORSES",NO,Bangladesh,6,231,,,,,,,,
01019000,"OTHER, HORSES",NO,Qatar,5,153,41,12,,,,,,
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,121,4505,8175,246251,3034,87427,4227,139155,22581,650915
01022110,PURE BRED BREEDING BULLS,NO,Afghanistan,64,1283,6943,207662,888,24683,1782,70683,205,6200
01022110,PURE BRED BREEDING BULLS,NO,Bahrain,112,3416,,,,,,,,
01022110,PURE BRED BREEDING BULLS,NO,Iran ( Islamic R.),36,1057,225,6917,230,6258,,,,
01022110,PURE BRED BREEDING BULLS,NO,Malaysia,82,2699,,,,,,,,
01022110,PURE BRED BREEDING BULLS,NO,Oman,222,7105,311,9606,1020,27749,7374,214254,,
01022110,PURE BRED BREEDING BULLS,NO,United Arab Emirates,57,3222,974,30427,1416,40106,1195,34465,15002,430461
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,118,3464,268,7909,41,1230,,,,
01022120,PURE BRED BREEDING COWS,NO,Afghanistan,84,2375,41,1230,,,,,,
01022120,PURE BRED BREEDING COWS,NO,United Arab Emirates,118,3464,184,5534,,,,,,
01022130,PURE BRED BREEDING OXEN,NO,ALL COUNTRIES,521,15630,,,,,,,,
01022130,PURE BRED BREEDING OXEN,NO,Afghanistan,521,15630,,,,,,,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,ALL COUNTRIES,1960,59055,929,24687,1105,29963,4021,116778,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,Afghanistan,456,11875,50,1500,,,,,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,Bahrain,100,3426,,,,,,,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,Oman,35,739,188,5563,826,23719,,,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,Saudi Arabia,180,5724,,,,,,,,
01022190,OTH PURE BRED BREEDING ANIMAL,NO,United Arab Emirates,1780,53331,338,8647,867,22900,3195,93059,,
01022910,OTHER BULLS,NO,ALL COUNTRIES,626,12520,2795,82835,567,17552,7134,214553,5866,176885
01022910,OTHER BULLS,NO,Afghanistan,626,12520,2497,73584,385,11550,6228,188780,5866,176885
01022910,OTHER BULLS,NO,Oman,298,9251,100,3434,140,3940,,,,
01022910,OTHER BULLS,NO,United Arab Emirates,82,2568,766,21833,,,,,,
01022920,OTHER COWS,NO,ALL COUNTRIES,4,230,45,1416,3691,118784,1681,51280,1990,59700
01022920,OTHER COWS,NO,Afghanistan,4,230,37,1110,3621,116684,1681,51280,1990,59700
01022920,OTHER COWS,NO,Bahrain,5,188,,,,,,,,
01022920,OTHER COWS,NO,India,70,2100,,,,,,,,
01022920,OTHER COWS,NO,Qatar,3,118,,,,,,,,
01022930,OTHER OXEN,NO,ALL COUNTRIES,8022,201334,9894,296820,5604,168120,,,,
01022930,OTHER OXEN,NO,Afghanistan,9894,296820,5604,168120,,,,,,
01022930,OTHER OXEN,NO,Iran ( Islamic R.),6820,165768,,,,,,,,
01022930,OTHER OXEN,NO,Turkey,1202,35566,,,,,,,,
01022990,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,2196,64402,,,,,,,,
01022990,OTHER LIVE BOVINE ANIMALS,NO,Oman,1656,48479,,,,,,,,
01022990,OTHER LIVE BOVINE ANIMALS,NO,United Arab Emirates,540,15923,,,,,,,,
01023100,PURE BRED BREEDING BUFFALOES,NO,ALL COUNTRIES,69,1380,29116,841278,13162,404684,5675,207035,,
01023100,PURE BRED BREEDING BUFFALOES,NO,Afghanistan,69,1380,29116,841278,8582,265305,5575,204323,,
01023100,PURE BRED BREEDING BUFFALOES,NO,Iran ( Islamic R.),4078,122509,,,,,,,,
