hs_code,commodity,unit,country,2022-2023_jun_quantity,2022-2023_jun_value_000rs,2022-2023_cum_quantity,2022-2023_cum_value_000rs,2021-2022_jun_quantity,2021-2022_jun_value_000rs,2021-2022_cum_quantity,2021-2022_cum_value_000rs
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,460000,685000,8280,12330,3732230,3175293,68328,59946
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Afghanistan,460000,685000,8280,12330,3732230,3164293,68328,59752
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Kyrgyzstan/Kyrgyz R.,,,,,,11000,,194
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,ALL COUNTRIES,800,,713,,1400,,1345,
01051300,"DUCKS, WEIGHT UPTO 185 GRAM",NO,Kuwait,800,,713,,1400,,1345,
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,ALL COUNTRIES,172900,235300,36686,43640,6873305,2931778,1114326,455798
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Afghanistan,172900,235300,36686,43640,6872540,2931285,1112279,455223
01059400,OTH FOWLS OF THE SPE (CHICKEN),NO,Oman,,,,,765,493,2047,575
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,,,6000,211100,577,35914
01059900,OTH LIVE POULTRY,NO,Afghanistan,,,,,6000,211100,577,35914
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,270,,442,,2697,,4544,
01063190,OTHER BIRDS OF PREY,NO,Oman,270,,442,,2697,,4544,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,,31640,,11910,28905,105836,10327,38571
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Jordan,,7050,,3272,3830,10250,2052,3970
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,,3925,,2579,2100,7125,725,3989
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Maldives,,,,,350,,231,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Oman,,20615,,6002,22625,22131,7319,6371
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Saudi Arabia,,,,,,66030,,24014
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Turkey,,50,,58,,300,,227
01063900,OTHER BIRDS,NO,ALL COUNTRIES,22128,9656,8794,5030,277416,251817,97991,89970
01063900,OTHER BIRDS,NO,Afghanistan,,,,,480,,98,
01063900,OTHER BIRDS,NO,Bahrain,,,,,,3498,,698
01063900,OTHER BIRDS,NO,Indonesia,,,,,,650,,1580
01063900,OTHER BIRDS,NO,Jordan,4450,1025,2094,1103,75609,27675,32197,11875
01063900,OTHER BIRDS,NO,Kuwait,8385,1050,3113,1040,107136,64595,33831,24754
01063900,OTHER BIRDS,NO,Maldives,,,,,5530,,2062,
01063900,OTHER BIRDS,NO,Oman,9293,7581,3587,2887,88661,130685,29804,41643
01063900,OTHER BIRDS,NO,Saudi Arabia,,,,,,22084,,8512
01063900,OTHER BIRDS,NO,Turkey,,,,,,2630,,908
01064100,BEES,NO,ALL COUNTRIES,105890,28812,4871,749,906603,2271142,49441,60808
01064100,BEES,NO,Afghanistan,105890,28812,4871,749,903903,2271142,49137,60808
01064100,BEES,NO,U.S.America,,,,,2500,,282,
01064100,BEES,NO,United Arab Emirates,,,,,200,,22,
01069000,OTHER LIVES ANIMALS,NO,ALL COUNTRIES,,,,,3750,2478,1388,1065
01069000,OTHER LIVES ANIMALS,NO,Bahrain,,,,,2200,,406,
01069000,OTHER LIVES ANIMALS,NO,Jordan,,,,,,1500,,758
01069000,OTHER LIVES ANIMALS,NO,"Korea, Republic of",,,,,,978,,307
01069000,OTHER LIVES ANIMALS,NO,Kuwait,,,,,1550,,983,
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,ALL COUNTRIES,7187231,5268745,8273630,4730700,81380367,60561525,85883940,49078109
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Afghanistan,,,,,,20670,,12898
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Bahrain,388194,192384,446376,164313,4314974,2630853,4232398,2088092
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Egypt(U.A.R.),1470,,2196,,1470,,2196,
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Hong Kong S.A.Re.Chi,,,,,1830,19269,1403,6115
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Jordan,,,,,12368,2424,12583,2969
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Kuwait,759111,614660,1128918,686001,9629012,8517594,12517950,8312829
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Malaysia,,,,,135,,204,
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Oman,429185,148259,444743,115881,2790192,1509901,2608582,1069595
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Qatar,676066,571129,805086,506586,7527820,5533296,7699282,4363966
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Saudi Arabia,1178129,625522,1417642,609059,12864124,7122080,14163529,6216104
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,United Arab Emirates,3755076,3116791,4028669,2648859,43122648,35188938,43795302,26994933
02011000,CARCASSES BOV ANIMAL FRE/CHILL,KG,Uzbekistan,,,,,1115794,16500,850512,10609
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,ALL COUNTRIES,182433,421568,140775,410171,2476941,3803260,2337746,3151138
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Afghanistan,,,,,,5000,,3112
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Bahrain,340,99474,166,97624,393202,767314,420000,651909
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Iraq,,,,,5000,,5244,
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Jordan,,,,,,7200,,5799
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Kazakstan,89200,,51120,,346284,,196439,
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Kuwait,1445,95728,1488,100986,455904,967849,513113,828586
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Maldives,,,,,28242,51967,26543,33690
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Oman,353,11320,370,9910,4445,97619,4480,64921
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Qatar,,8969,,7143,6396,19839,6339,14603
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Saudi Arabia,67914,12909,64029,13541,535898,348990,471243,331301
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,United Arab Emirates,23181,193168,23602,180967,680570,1537482,670859,1217218
02012000,OTH CUT WITH BONE BOVIN ANIMAL,KG,Uzbekistan,,,,,21000,,23487,
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,ALL COUNTRIES,32088,540,39341,658,130473,27631,136724,24593
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,Bahrain,,,,,25,4610,20,3198
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,Jordan,,,,,6276,65,5804,56
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,Oman,,,,,1700,3038,2236,3171
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,Qatar,,,,,950,1290,1273,1063
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,Saudi Arabia,8022,,11482,,77598,4017,78594,3972
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,United Arab Emirates,3066,540,3861,658,13390,14611,16762,13132
02013000,MEAT OF BOV ANIM F/CH BON LESS,KG,Uzbekistan,21000,,23999,,30534,,32035,
02021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,ALL COUNTRIES,234479,49834,234626,32258,1676859,171862,1473210,105572
02021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,Kuwait,,,,,,23428,,13869
02021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,Oman,,,,,11313,392,7907,227
02021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,Qatar,,,,,,1420,,797
02021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,Saudi Arabia,,,,,,38214,,23620
02021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,United Arab Emirates,,,,,1147,,484,
02021000,CARCASSES OF BOVIN ANIMAL FROZ,KG,Uzbekistan,234479,49834,234626,32258,1664399,108408,1464820,67058
