hs_code,commodity,unit,country,2022-2023_jun_quantity,2022-2023_jun_value_000rs,2022-2023_cum_quantity,2022-2023_cum_value_000rs,2021-2022_jun_quantity,2021-2022_jun_value_000rs,2021-2022_cum_quantity,2021-2022_cum_value_000rs
08029100,"PINE NUTS, IN SHELL",KG,ALL COUNTRIES,,,8845,26271,,,,
08029100,"PINE NUTS, IN SHELL",KG,Afghanistan,,0,8845,26271,,,,
08029100,"PINE NUTS, IN SHELL",KG,"8029200PINE NUTS, SHELLED",,,500,81,,,,
08029100,"PINE NUTS, IN SHELL",KG,Afghanistan,,0,500,81,,,,
08029100,"PINE NUTS, IN SHELL",KG,8029900OTHER NUTS SHELLED OR NOT,1265,113,51758,3831,8474,1626,137565,42179
08029100,"PINE NUTS, IN SHELL",KG,Afghanistan,,0,,,562,281,56001,26676
08029100,"PINE NUTS, IN SHELL",KG,China,920,87,9110,934,,,8618,4160
08029100,"PINE NUTS, IN SHELL",KG,Iran ( Islamic R.),250,18,40729,2756,7912,1345,72942,11342
08029100,"PINE NUTS, IN SHELL",KG,Turkey,95,7,1919,141,,,,
08029100,"PINE NUTS, IN SHELL",KG,United Kingdom,,0,,,,,4,1
08029100,"PINE NUTS, IN SHELL",KG,8039000OTHER BANANS FRESH OR DRIED,2020,4026,9474,7997,,,24209,6071
08029100,"PINE NUTS, IN SHELL",KG,China,,0,,,,,428,209
08029100,"PINE NUTS, IN SHELL",KG,Ecuador,2020,4026,7297,7230,,,23674,5819
08029100,"PINE NUTS, IN SHELL",KG,France,,0,2177,767,,,,
08029100,"PINE NUTS, IN SHELL",KG,Viet Nam,,0,,,,,107,43
08029100,"PINE NUTS, IN SHELL",KG,8041010DATES FRESH,292279,27767,2792024,,,2457018,,
08029100,"PINE NUTS, IN SHELL",KG,Afghanistan,,0,8550,417,,,,
08029100,"PINE NUTS, IN SHELL",KG,China,,0,30,4,,,,
08029100,"PINE NUTS, IN SHELL",KG,India,,0,1500,108,,,,
08029100,"PINE NUTS, IN SHELL",KG,Iran ( Islamic R.),292279,27767,2400735,,,1933402,,
08029100,"PINE NUTS, IN SHELL",KG,Iraq,,0,1357588,238736,,,354089,
08029100,"PINE NUTS, IN SHELL",KG,Japan,,0,,,,,30,3747
08029100,"PINE NUTS, IN SHELL",KG,Jordan,,0,18048,12553,,,177477,6941
08029100,"PINE NUTS, IN SHELL",KG,Oman,,0,14,1,,,,
08029100,"PINE NUTS, IN SHELL",KG,Qatar,,0,32,74,,,,
08029100,"PINE NUTS, IN SHELL",KG,Saudi Arabia,,0,338399,118324,,,850609,156508
08029100,"PINE NUTS, IN SHELL",KG,United Arab Emirates,,0,183726,21072,,,17819,2331
08029100,"PINE NUTS, IN SHELL",KG,8041020DATES DRIED,,,10,1,,,12110,3085
08029100,"PINE NUTS, IN SHELL",KG,China,,0,10,1,,,110,18
08029100,"PINE NUTS, IN SHELL",KG,Saudi Arabia,,0,,,,,12000,3067
08029100,"PINE NUTS, IN SHELL",KG,8042000FIGS,60633,11840,1159755,283198,600,162,2667478,306508
08029100,"PINE NUTS, IN SHELL",KG,Afghanistan,59493,11601,1156676,282640,600,162,2601415,301536
08029100,"PINE NUTS, IN SHELL",KG,Iran ( Islamic R.),1140,239,2279,410,,,66063,4972
08029100,"PINE NUTS, IN SHELL",KG,Turkey,,0,800,147,,,,
