hs_code,commodity,unit,country,2017-2018_jun_quantity,2017-2018_jun_value_000rs,2017-2018_cum_quantity,2017-2018_cum_value_000rs,2016-2017_jun_quantity,2016-2017_jun_value_000rs,2016-2017_cum_quantity,2016-2017_cum_value_000rs
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,7,2644,219,93626,,,70,23061
01012100,PURE BRED BREEDING HORSES,NO,Argentina,,,29,16262,,,36,12431
01012100,PURE BRED BREEDING HORSES,NO,Belgium,,,6,1080,,,,
01012100,PURE BRED BREEDING HORSES,NO,Denmark,,,90,40842,,,,
01012100,PURE BRED BREEDING HORSES,NO,France,,,,,,,12,3742
01012100,PURE BRED BREEDING HORSES,NO,Germany,,,6,1766,,,,
01012100,PURE BRED BREEDING HORSES,NO,Ireland,7,2644,7,2644,,,,
01012100,PURE BRED BREEDING HORSES,NO,Netherlands,,,23,12741,,,2,561
01012100,PURE BRED BREEDING HORSES,NO,Qatar,,,17,6244,,,,
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,,,41,12047,,,20,6327
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,,,,,10,1041
01019000,OTHER LIVE ANIMALS,NO,Germany,,,,,,,3,691
01019000,OTHER LIVE ANIMALS,NO,Thailand,,,,,,,7,350
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,8,1793,,,14,4356
01022110,PURE BRED BREEDING BULLS,NO,Australia,,,8,1793,,,14,4356
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,170,41822,5636,1148647,,,6171,1101244
01022120,PURE BRED BREEDING COWS,NO,Australia,,,4401,864280,,,5642,988463
01022120,PURE BRED BREEDING COWS,NO,Netherlands,170,41822,842,179422,,,345,78637
01022120,PURE BRED BREEDING COWS,NO,U.S.America,,,209,75651,,,184,34145
01022120,PURE BRED BREEDING COWS,NO,United Kingdom,,,184,29294,,,,
01022920,OTHER LIVE COWS,NO,ALL COUNTRIES,,,626,90717,,,,
01022920,OTHER LIVE COWS,NO,Australia,,,626,90717,,,,
01029000,OTHER LIVE BOVINE ANIMALS,NO,ALL COUNTRIES,,,12,319,,,2,70
01029000,OTHER LIVE BOVINE ANIMALS,NO,Thailand,,,,,,,2,70
01029000,OTHER LIVE BOVINE ANIMALS,NO,U.S.America,,,12,319,,,,
01041000,SHEEP LIVE,NO,ALL COUNTRIES,945,3930,945,3930,,,,
01041000,SHEEP LIVE,NO,Afghanistan,945,3930,945,3930,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,93520,177422,908940,1417194,13015,16208,1043547,1234515
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Bahrain,,,,,,,12,13
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Belgium,,,,,,,122,126
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Czech Republic,605,1042,3240,3915,1125,1350,1195,1424
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,,,126350,156402,,,123836,124508
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Germany,,,52026,72190,11890,14859,133370,76467
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Hungary,,,3880,4848,,,5508,6402
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Netherlands,19575,35534,67516,103932,,,309716,380092
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Poland,,,,,,,2000,2955
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Spain,,,6620,6622,,,24000,10071
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,U.S.America,73340,140846,304453,533344,,,216188,304919
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,United Arab Emirates,,,,,,,25,129
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,United Kingdom,,,344855,535942,,,227575,327409
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Bahrain,,,13,39,,,3,43
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Belgium,,,,,,,590,438
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,,,,,,,4000,3617
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,210,324,,,1570,1263
01059900,OTH LIVE POULTRY,NO,Belgium,,,80,124,,,,
01059900,OTH LIVE POULTRY,NO,China,,,50,62,,,,
01059900,OTH LIVE POULTRY,NO,Czech Republic,,,,,,,1570,1263
01059900,OTH LIVE POULTRY,NO,Netherlands,,,80,139,,,,
01061100,PRIMATES,NO,ALL COUNTRIES,,,,,,,1,30
01061100,PRIMATES,NO,United Kingdom,,,,,,,1,30
01061100,PRIMATES,NO,Russian Federation,,,,,,,5,5687
01061100,PRIMATES,NO,Netherlands,,,6,449,,,,
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,1,24,,,,
01061400,RABBITS AND HARES,NO,Germany,,,1,24,,,,
01061900,OTHER MAMMALS,NO,ALL COUNTRIES,539,20920,1058,37930,34,1066,359,13164
01061900,OTHER MAMMALS,NO,Argentina,2,142,2,142,,,,
01061900,OTHER MAMMALS,NO,Bahrain,,,1,29,,,,
01061900,OTHER MAMMALS,NO,Belgium,,,212,7039,,,47,1492
01061900,OTHER MAMMALS,NO,Canada,1,25,2,50,,,,
01061900,OTHER MAMMALS,NO,Egypt(U.A.R.),,,2,51,,,,
01061900,OTHER MAMMALS,NO,Germany,2,124,6,270,,,,
01061900,OTHER MAMMALS,NO,Hungary,2,55,9,180,,,,
01061900,OTHER MAMMALS,NO,Ireland,,,4,80,,,,
01061900,OTHER MAMMALS,NO,Italy,,,1,70,,,,
01061900,OTHER MAMMALS,NO,Kuwait,,,6,124,,,1,32
01061900,OTHER MAMMALS,NO,Kyrgyzstan/Kyrgyz R.,,,,,,,1,29
01061900,OTHER MAMMALS,NO,Morocco,,,1,80,,,,
01061900,OTHER MAMMALS,NO,Namibia,1,20,1,20,,,,
01061900,OTHER MAMMALS,NO,Netherlands,,,46,2584,,,70,2587
01061900,OTHER MAMMALS,NO,Poland,3,199,11,407,,,3,203
01061900,OTHER MAMMALS,NO,Qatar,,,2,102,,,,
01061900,OTHER MAMMALS,NO,Romania,,,1,20,,,,
01061900,OTHER MAMMALS,NO,Russian Federation,,,3,119,,,4,18
01061900,OTHER MAMMALS,NO,Saudi Arabia,1,15,3,66,,,,
01061900,OTHER MAMMALS,NO,Serbia,,,5,150,,,2,146
01061900,OTHER MAMMALS,NO,South Africa,433,15973,595,20585,34,1066,34,1066
01061900,OTHER MAMMALS,NO,Sri Lanka,2,118,2,118,,,,
01061900,OTHER MAMMALS,NO,Thailand,1,83,6,190,,,3,153
01061900,OTHER MAMMALS,NO,Turkey,,,1,35,,,,
01061900,OTHER MAMMALS,NO,U.S.America,2,142,3,157,,,1,32
01061900,OTHER MAMMALS,NO,Ukraine,,,3,88,,,5,25
01061900,OTHER MAMMALS,NO,United Arab Emirates,88,4000,117,4910,,,102,2852
01061900,OTHER MAMMALS,NO,United Kingdom,1,25,12,238,,,86,4530
01061900,OTHER MAMMALS,NO,Uzbekistan,,,1,25,,,,
01063190,OTHER BIRDS OF PREY,NO,ALL COUNTRIES,200,332,6654,9116,20,24,2320,2368
01063190,OTHER BIRDS OF PREY,NO,Bahrain,17,18,481,557,,,,
01063190,OTHER BIRDS OF PREY,NO,Belgium,,,318,716,,,,
01063190,OTHER BIRDS OF PREY,NO,Bulgaria,50,83,550,648,,,,
01063190,OTHER BIRDS OF PREY,NO,China,,,180,139,,,,
01063190,OTHER BIRDS OF PREY,NO,Egypt(U.A.R.),35,39,151,184,,,,
01063190,OTHER BIRDS OF PREY,NO,Kuwait,,,270,226,,,,
01063190,OTHER BIRDS OF PREY,NO,Netherlands,98,193,3745,5176,20,24,1881,1934
01063190,OTHER BIRDS OF PREY,NO,O.Asia(Tai.For.Pe.Ki,,,,,,,237,221
01063190,OTHER BIRDS OF PREY,NO,Oman,,,475,756,,,,
01063190,OTHER BIRDS OF PREY,NO,Philippines,,,252,405,,,,
01063190,OTHER BIRDS OF PREY,NO,United Kingdom,,,232,308,,,202,213
01063200,PSITTACIFORMES(INCL.PARROTS),NO,ALL COUNTRIES,928,1659,71801,96796,2675,3469,61351,80375
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Bahrain,,,1167,1409,21,32,946,1026
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Belgium,,,88,123,162,182,3427,3757
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Cameroon,,,,,,,200,421
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Canada,,,,,,,2,2
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Czech Republic,,,5990,7285,,,8335,7919
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Egypt(U.A.R.),,,137,184,,,293,294
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Guinea,,,845,982,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Guyana,,,13317,20330,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Italy,,,535,738,,,340,511
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Kuwait,,,64,79,,,,
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Mali,,,,,,,384,223
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Mozambique,,,,,,,1344,2275
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Netherlands,285,354,5690,7023,134,162,11254,13014
01063200,PSITTACIFORMES(INCL.PARROTS),NO,O.Asia(Tai.For.Pe.Ki,,,,,,,50,26
01063200,PSITTACIFORMES(INCL.PARROTS),NO,Philippines,108,335,2022,2592,,,1799,1331
