hs_code,commodity,unit,country,2014-2015_jun_quantity,2014-2015_jun_value_000rs,2014-2015_cum_quantity,2014-2015_cum_value_000rs,2013-2014_jun_quantity,2013-2014_jun_value_000rs,2013-2014_cum_quantity,2013-2014_cum_value_000rs
01012100,PURE BRED BREEDING HORSES,NO,ALL COUNTRIES,,,31,17848,,,21,11341
01012100,PURE BRED BREEDING HORSES,NO,Argentina,,,24,14924,,,12,7954
01012100,PURE BRED BREEDING HORSES,NO,Belgium,,,3,1678,,,,
01012100,PURE BRED BREEDING HORSES,NO,Ireland,,,,,,,1,238
01012100,PURE BRED BREEDING HORSES,NO,U.S.America,,,,,,,2,476
01012100,PURE BRED BREEDING HORSES,NO,United Kingdom,,,4,1245,,,6,2672
01019000,OTHER LIVE ANIMALS,NO,ALL COUNTRIES,,,1007,8617,,,14,6013
01019000,OTHER LIVE ANIMALS,NO,Argentina,,,6,1845,,,,
01019000,OTHER LIVE ANIMALS,NO,Ireland,,,1001,6771,,,,
01019000,OTHER LIVE ANIMALS,NO,Malaysia,,,,,,,6,3000
01019000,OTHER LIVE ANIMALS,NO,Thailand,,,,,,,2,13
01019000,OTHER LIVE ANIMALS,NO,United Kingdom,,,,,,,6,3000
01022110,PURE BRED BREEDING BULLS,NO,ALL COUNTRIES,,,2,611,,,4,1242
01022110,PURE BRED BREEDING BULLS,NO,Australia,,,2,611,,,4,1242
01022120,PURE BRED BREEDING COWS,NO,ALL COUNTRIES,,,3421,825059,,,2948,710566
01022120,PURE BRED BREEDING COWS,NO,Australia,,,1491,374028,,,2948,710566
01022120,PURE BRED BREEDING COWS,NO,Netherlands,,,1930,451031,,,,
01022920,OTHER LIVE COWS,NO,ALL COUNTRIES,,,38,6492,,,472,83318
01022920,OTHER LIVE COWS,NO,Australia,,,38,6492,,,472,83318
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,ALL COUNTRIES,57672,46888,487157,369549,115304,120504,672444,548016
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,France,20712,17702,170170,132051,43000,42819,272114,205011
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Germany,,,,,27304,26716,83784,62698
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Netherlands,23960,18077,35160,30540,,,21800,15817
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Poland,13000,11108,112539,82757,,,34568,21582
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,South Africa,,,211,174,,,,
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Thailand,,,,,,,39,26
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,U.S.America,,,169077,124027,45000,50969,260139,242882
01051100,FOWLS (CHICKEN) WT UPTO 185G,NO,Thailand,,,18,15,,,,
01059900,OTH LIVE POULTRY,NO,ALL COUNTRIES,,,560709,541430,148420,93537,525458,385555
01059900,OTH LIVE POULTRY,NO,Czech Republic,,,,,,,1700,467
01059900,OTH LIVE POULTRY,NO,France,,,11517,7717,,,113200,24511
01059900,OTH LIVE POULTRY,NO,Germany,,,100000,55019,,,24480,15921
01059900,OTH LIVE POULTRY,NO,Netherlands,,,193454,173023,88540,46892,190700,176763
01059900,OTH LIVE POULTRY,NO,New Zealand,,,,,,,91608,62816
01059900,OTH LIVE POULTRY,NO,U.S.America,,,87468,144615,,,,
01059900,OTH LIVE POULTRY,NO,United Arab Emirates,,,22,11,,,,
01059900,OTH LIVE POULTRY,NO,United Kingdom,,,168248,161046,59880,46645,103770,105077
01061100,PRIMATES,NO,ALL COUNTRIES,,,,,,,7,220
01061100,PRIMATES,NO,Bulgaria,,,,,,,2,40
01061100,PRIMATES,NO,Canada,,,,,,,5,180
01061100,PRIMATES,NO,Russian Federation,,,,,,,114,4756
01061100,PRIMATES,NO,United Kingdom,,,,,,,28,1195
01061100,PRIMATES,NO,United Arab Emirates,,,,,880,438,880,438
01061400,RABBITS AND HARES,NO,ALL COUNTRIES,,,15,54,,,,
01061400,RABBITS AND HARES,NO,Indonesia,,,13,33,,,,
01061400,RABBITS AND HARES,NO,United Arab Emirates,,,2,20,,,,
01061900,OTHER MAMMALS,NO,ALL COUNTRIES,55,2099,496,21915,17,573,176,5691
01061900,OTHER MAMMALS,NO,Australia,,,1,73,,,,
01061900,OTHER MAMMALS,NO,Bahrain,5,190,5,190,,,,
01061900,OTHER MAMMALS,NO,Belgium,,,4,175,,,1,15
01061900,OTHER MAMMALS,NO,Canada,,,10,500,,,,
01061900,OTHER MAMMALS,NO,Czech Republic,,,,,,,1,51
01061900,OTHER MAMMALS,NO,Germany,,,3,80,2,45,2,45
01061900,OTHER MAMMALS,NO,Japan,,,6,333,,,,
01061900,OTHER MAMMALS,NO,"Korea, Republic of",2,50,3,75,,,,
01061900,OTHER MAMMALS,NO,Malaysia,,,,,,,1,21
01061900,OTHER MAMMALS,NO,Netherlands,,,265,12064,,,1,54
01061900,OTHER MAMMALS,NO,O.Asia(Tai.For.Pe.Ki,,,1,25,,,,
01061900,OTHER MAMMALS,NO,Poland,,,6,276,,,,
01061900,OTHER MAMMALS,NO,Qatar,,,,,,,1,45
