date,symbol,ldcp,open,high,low,close,volume
2021-05-28,WTL,1.35,1.35,1.35,1.26,1.30,-0.05
2021-05-28,BOP,34.64,33.88,34.30,32.00,33.79,-0.85
2021-05-28,CNERGY,8.41,8.20,8.23,7.96,8.12,-0.29
2021-05-28,HASCOL,20.81,20.60,21.68,20.11,21.17,0.36
2021-05-28,BOP-MAYB,34.95,34.00,34.45,32.35,34.04,-0.91
2021-05-28,FNEL,1.38,1.36,1.47,1.31,1.40,0.02
2021-05-28,YOUW,6.93,6.50,6.60,6.02,6.23,-0.70
2021-05-28,CSIL,6.04,5.75,6.81,5.72,6.70,0.66
2021-05-28,PACE,12.04,11.50,11.70,10.84,11.24,-0.80
2021-05-28,KEL,7.68,7.50,7.65,7.34,7.56,-0.12
2021-05-28,CLOV,8.45,8.30,8.55,7.83,8.06,-0.39
2021-05-28,ASC,10.21,10.22,11.23,10.10,11.03,0.82
2021-05-28,PIBTL,15.23,15.00,15.10,14.10,15.01,-0.22
2021-05-28,UNITY,12.41,12.25,12.25,11.31,11.94,-0.47
2021-05-28,HUMNL,11.25,10.95,11.70,10.80,11.04,-0.21
2021-05-28,MACFL,26.69,27.00,29.36,26.83,29.36,2.67
2021-05-28,CNERGY-MAY,8.47,8.21,8.30,8.01,8.20,-0.27
2021-05-28,LOADS,13.73,13.49,13.49,12.65,13.12,-0.61
2021-05-28,MLCF,80.74,79.25,80.89,74.75,79.61,-1.13
2021-05-28,AHCL,14.26,14.00,14.34,13.05,14.20,-0.06
2021-05-28,PTC,48.73,48.29,50.43,44.65,49.02,0.29
2021-05-28,NBP,185.97,182.10,182.10,172.00,175.76,-10.21
2021-05-28,TSBL,1.85,1.68,1.90,1.68,1.86,0.01
2021-05-28,NCPL,67.11,65.00,65.55,62.30,65.05,-2.06
2021-05-28,PAEL,39.16,38.49,38.49,36.60,37.58,-1.58
2021-05-29,WTL,1.35,1.35,1.35,1.26,1.30,-0.05
2021-05-29,BOP,34.64,33.88,34.30,32.00,33.79,-0.85
2021-05-29,CNERGY,8.41,8.20,8.23,7.96,8.12,-0.29
2021-05-29,HASCOL,20.81,20.60,21.68,20.11,21.17,0.36
2021-05-29,BOP-MAYB,34.95,34.00,34.45,32.35,34.04,-0.91
2021-05-29,FNEL,1.38,1.36,1.47,1.31,1.40,0.02
2021-05-29,YOUW,6.93,6.50,6.60,6.02,6.23,-0.70
2021-05-29,CSIL,6.04,5.75,6.81,5.72,6.70,0.66
2021-05-29,PACE,12.04,11.50,11.70,10.84,11.24,-0.80
2021-05-29,KEL,7.68,7.50,7.65,7.34,7.56,-0.12
2021-05-29,CLOV,8.45,8.30,8.55,7.83,8.06,-0.39
2021-05-29,ASC,10.21,10.22,11.23,10.10,11.03,0.82
2021-05-29,PIBTL,15.23,15.00,15.10,14.10,15.01,-0.22
2021-05-29,UNITY,12.41,12.25,12.25,11.31,11.94,-0.47
2021-05-29,HUMNL,11.25,10.95,11.70,10.80,11.04,-0.21
2021-05-29,MACFL,26.69,27.00,29.36,26.83,29.36,2.67
2021-05-29,CNERGY-MAY,8.47,8.21,8.30,8.01,8.20,-0.27
2021-05-29,LOADS,13.73,13.49,13.49,12.65,13.12,-0.61
2021-05-29,MLCF,80.74,79.25,80.89,74.75,79.61,-1.13
2021-05-29,AHCL,14.26,14.00,14.34,13.05,14.20,-0.06
2021-05-29,PTC,48.73,48.29,50.43,44.65,49.02,0.29
2021-05-29,NBP,185.97,182.10,182.10,172.00,175.76,-10.21
2021-05-29,TSBL,1.85,1.68,1.90,1.68,1.86,0.01
2021-05-29,NCPL,67.11,65.00,65.55,62.30,65.05,-2.06
2021-05-29,PAEL,39.16,38.49,38.49,36.60,37.58,-1.58
2021-05-30,WTL,1.35,1.35,1.35,1.26,1.30,-0.05
2021-05-30,BOP,34.64,33.88,34.30,32.00,33.79,-0.85
2021-05-30,CNERGY,8.41,8.20,8.23,7.96,8.12,-0.29
2021-05-30,HASCOL,20.81,20.60,21.68,20.11,21.17,0.36
2021-05-30,BOP-MAYB,34.95,34.00,34.45,32.35,34.04,-0.91
2021-05-30,FNEL,1.38,1.36,1.47,1.31,1.40,0.02
2021-05-30,YOUW,6.93,6.50,6.60,6.02,6.23,-0.70
2021-05-30,CSIL,6.04,5.75,6.81,5.72,6.70,0.66
2021-05-30,PACE,12.04,11.50,11.70,10.84,11.24,-0.80
2021-05-30,KEL,7.68,7.50,7.65,7.34,7.56,-0.12
2021-05-30,CLOV,8.45,8.30,8.55,7.83,8.06,-0.39
2021-05-30,ASC,10.21,10.22,11.23,10.10,11.03,0.82
2021-05-30,PIBTL,15.23,15.00,15.10,14.10,15.01,-0.22
2021-05-30,UNITY,12.41,12.25,12.25,11.31,11.94,-0.47
2021-05-30,HUMNL,11.25,10.95,11.70,10.80,11.04,-0.21
2021-05-30,MACFL,26.69,27.00,29.36,26.83,29.36,2.67
2021-05-30,CNERGY-MAY,8.47,8.21,8.30,8.01,8.20,-0.27
2021-05-30,LOADS,13.73,13.49,13.49,12.65,13.12,-0.61
2021-05-30,MLCF,80.74,79.25,80.89,74.75,79.61,-1.13
2021-05-30,AHCL,14.26,14.00,14.34,13.05,14.20,-0.06
2021-05-30,PTC,48.73,48.29,50.43,44.65,49.02,0.29
2021-05-30,NBP,185.97,182.10,182.10,172.00,175.76,-10.21
2021-05-30,TSBL,1.85,1.68,1.90,1.68,1.86,0.01
2021-05-30,NCPL,67.11,65.00,65.55,62.30,65.05,-2.06
2021-05-30,PAEL,39.16,38.49,38.49,36.60,37.58,-1.58
2021-05-31,WTL,1.35,1.35,1.35,1.26,1.30,-0.05
2021-05-31,BOP,34.64,33.88,34.30,32.00,33.79,-0.85
2021-05-31,CNERGY,8.41,8.20,8.23,7.96,8.12,-0.29
2021-05-31,HASCOL,20.81,20.60,21.68,20.11,21.17,0.36
2021-05-31,BOP-MAYB,34.95,34.00,34.45,32.35,34.04,-0.91
2021-05-31,FNEL,1.38,1.36,1.47,1.31,1.40,0.02
2021-05-31,YOUW,6.93,6.50,6.60,6.02,6.23,-0.70
2021-05-31,CSIL,6.04,5.75,6.81,5.72,6.70,0.66
2021-05-31,PACE,12.04,11.50,11.70,10.84,11.24,-0.80
2021-05-31,KEL,7.68,7.50,7.65,7.34,7.56,-0.12
2021-05-31,CLOV,8.45,8.30,8.55,7.83,8.06,-0.39
2021-05-31,ASC,10.21,10.22,11.23,10.10,11.03,0.82
2021-05-31,PIBTL,15.23,15.00,15.10,14.10,15.01,-0.22
